,À¥Å÷ Á¦¸ñ,È¸Â÷ Á¦¸ñ,È¸Â÷,µî·ÏÀÏ,Á¶È¸¼ö,È¸Â÷º° º°Á¡,º°Á¡ Âü¿©ÀÎ¿ø¼ö,ÁÁ¾Æ¿ä¼ö,´ñ±Û¼ö,Á¤½Ä¿¬Àç,Á¶È¸¼ö ´ëºñ º°Á¡Âü¿©,Á¶È¸¼ö ´ëºñ ÁÁ¾Æ¿ä,¿¡ÇÇ¼Òµå,¿È´Ï¹ö½º,½ºÅä¸®,ÀÏ»ó,°³±×,ÆÇÅ¸Áö,¾×¼Ç,µå¶ó¸¶,¼øÁ¤,°¨¼º,½º¸±·¯,½Ã´ë±Ø,½ºÆ÷Ã÷
50,Ãë»çº´ Àü¼³ÀÌ µÇ´Ù,ÇÁ·Ñ·Î±×,1,2018.07.25,334250,9.72,1248,396,85,1,3.733732,1.184742,0,0,1,0,0,1,0,1,0,0,0,0,0
51,Ãë»çº´ Àü¼³ÀÌ µÇ´Ù,1È­,2,2018.07.25,372099,9.82,1432,452,125,1,3.848438,1.21473,0,0,1,0,0,1,0,1,0,0,0,0,0
52,Ãë»çº´ Àü¼³ÀÌ µÇ´Ù,2È­,3,2018.08.01,300754,9.84,1298,375,90,1,4.31582,1.246866,0,0,1,0,0,1,0,1,0,0,0,0,0
53,Ãë»çº´ Àü¼³ÀÌ µÇ´Ù,3È­,4,2018.08.08,262261,9.84,1272,350,53,1,4.85013,1.334548,0,0,1,0,0,1,0,1,0,0,0,0,0
54,Ãë»çº´ Àü¼³ÀÌ µÇ´Ù,4È­,5,2018.08.15,256048,9.83,1134,353,51,1,4.428857,1.378648,0,0,1,0,0,1,0,1,0,0,0,0,0
55,±Í°¢½Ã,-¿¹°íÆí-,1,2014.06.25,236307,9.81,2359,1625,157,1,9.982777,6.876648,0,0,1,0,0,0,0,0,1,0,1,0,0
56,±Í°¢½Ã,-1-,2,2014.06.27,260183,9.84,2419,1472,230,1,9.297302,5.657556,0,0,1,0,0,0,0,0,1,0,1,0,0
57,±Í°¢½Ã,-2-,3,2014.07.05,216561,9.85,2449,1451,111,1,11.308592,6.700191,0,0,1,0,0,0,0,0,1,0,1,0,0
58,±Í°¢½Ã,-3-,4,2014.07.17,187305,9.85,2385,1429,98,1,12.733243,7.629268,0,0,1,0,0,0,0,0,1,0,1,0,0
59,±Í°¢½Ã,-4-,5,2014.07.25,169749,9.87,2331,1351,162,1,13.73204,7.95881,0,0,1,0,0,0,0,0,1,0,1,0,0
60,À×¿©Æ¯°ø´ë,1,1,2018.02.14,478122,9.78,1924,2044,258,1,4.024078,4.27506,0,0,1,0,0,1,0,1,0,0,0,0,0
61,À×¿©Æ¯°ø´ë,2,2,2018.02.21,327122,9.88,1471,1532,127,1,4.496793,4.683268,0,0,1,0,0,1,0,1,0,0,0,0,0
62,À×¿©Æ¯°ø´ë,3,3,2018.02.28,282310,9.85,1444,1387,88,1,5.114945,4.913039,0,0,1,0,0,1,0,1,0,0,0,0,0
63,À×¿©Æ¯°ø´ë,4,4,2018.03.07,258251,9.89,1307,1302,69,1,5.060968,5.041607,0,0,1,0,0,1,0,1,0,0,0,0,0
64,À×¿©Æ¯°ø´ë,5,5,2018.03.14,248875,9.91,1232,1245,76,1,4.950276,5.002511,0,0,1,0,0,1,0,1,0,0,0,0,0
65,¿À´Ãµµ ÇüÁ¦´Â ÆòÈ­·Ó´Ù,¹è·Á,1,2016.10.04,252925,9.85,1904,1107,84,1,7.527923,4.376792,1,0,0,1,1,0,0,0,0,0,0,0,0
66,¿À´Ãµµ ÇüÁ¦´Â ÆòÈ­·Ó´Ù,¿ì¾Ö,2,2016.10.10,210825,9.88,1684,1033,77,1,7.987667,4.899798,1,0,0,1,1,0,0,0,0,0,0,0,0
67,¿À´Ãµµ ÇüÁ¦´Â ÆòÈ­·Ó´Ù,¹«´ë,3,2016.10.19,183780,9.85,1452,820,49,1,7.900751,4.461857,1,0,0,1,1,0,0,0,0,0,0,0,0
68,¿À´Ãµµ ÇüÁ¦´Â ÆòÈ­·Ó´Ù,¼Ò°³,4,2016.11.28,172672,9.9,1494,890,53,1,8.652242,5.154281,1,0,0,1,1,0,0,0,0,0,0,0,0
69,¿À´Ãµµ ÇüÁ¦´Â ÆòÈ­·Ó´Ù,Ã¼³ä,5,2016.12.06,182154,9.91,2379,1239,57,1,13.060377,6.801937,1,0,0,1,1,0,0,0,0,0,0,0,0
70,°£¶³¾îÁö´Â µ¿°Å,1,1,2017.02.19,300464,9.87,964,365,46,1,3.208371,1.214788,0,0,1,0,1,0,0,0,1,0,0,0,0
71,°£¶³¾îÁö´Â µ¿°Å,2,2,2017.03.07,221107,9.84,873,302,46,1,3.948315,1.365855,0,0,1,0,1,0,0,0,1,0,0,0,0
72,°£¶³¾îÁö´Â µ¿°Å,3,3,2017.03.15,190020,9.86,1026,336,42,1,5.399432,1.768235,0,0,1,0,1,0,0,0,1,0,0,0,0
73,°£¶³¾îÁö´Â µ¿°Å,º£½ºÆ® µµÀü,4,2017.04.02,146513,9.85,778,241,68,1,5.310109,1.644905,0,0,1,0,1,0,0,0,1,0,0,0,0
74,°£¶³¾îÁö´Â µ¿°Å,4,5,2017.04.05,172734,9.89,1185,358,169,1,6.860259,2.072551,0,0,1,0,1,0,0,0,1,0,0,0,0
75,¿À´Ãµµ »ç¶ûÇÏ¼¼¿ä,1È­,1,2019.06.04,300592,9.86,1527,2116,82,1,5.079976,7.039442,0,0,1,0,0,0,0,0,1,0,0,0,0
76,¿À´Ãµµ »ç¶ûÇÏ¼¼¿ä,2È­,2,2019.06.11,242512,9.93,1286,1790,64,1,5.30283,7.381078,0,0,1,0,0,0,0,0,1,0,0,0,0
77,¿À´Ãµµ »ç¶ûÇÏ¼¼¿ä,3È­,3,2019.06.18,206959,9.95,1200,1610,66,1,5.79825,7.779319,0,0,1,0,0,0,0,0,1,0,0,0,0
78,¿À´Ãµµ »ç¶ûÇÏ¼¼¿ä,4È­,4,2019.06.25,193245,9.89,1256,1586,62,1,6.499521,8.207198,0,0,1,0,0,0,0,0,1,0,0,0,0
79,¿À´Ãµµ »ç¶ûÇÏ¼¼¿ä,º£µµ°¨»ç,5,2019.06.28,184933,9.91,1105,1376,108,1,5.975137,7.440533,0,0,1,0,0,0,0,0,1,0,0,0,0
80,»îÀÌ ¿ì¸®¸¦ ¼ÓÀÏÁö¶óµµ,1È­ ½ÃÀÛ [1],1,2018.08.22,354386,9.81,1986,875,161,1,5.604059,2.469059,0,0,1,0,0,0,0,1,1,0,0,0,0
81,»îÀÌ ¿ì¸®¸¦ ¼ÓÀÏÁö¶óµµ,2È­ ½ÃÀÛ [2],2,2018.08.29,261533,9.88,1626,744,73,1,6.217189,2.844765,0,0,1,0,0,0,0,1,1,0,0,0,0
82,»îÀÌ ¿ì¸®¸¦ ¼ÓÀÏÁö¶óµµ,3È­ ¹æ½ÉÀº ±Ý¹° [1],3,2018.09.05,217829,9.85,1237,639,72,1,5.678766,2.933494,0,0,1,0,0,0,0,1,1,0,0,0,0
83,»îÀÌ ¿ì¸®¸¦ ¼ÓÀÏÁö¶óµµ,4È­ ¹æ½ÉÀº ±Ý¹° [2],4,2018.09.12,194509,9.87,1129,540,70,1,5.804359,2.776221,0,0,1,0,0,0,0,1,1,0,0,0,0
84,»îÀÌ ¿ì¸®¸¦ ¼ÓÀÏÁö¶óµµ,5È­ ¹æ½ÉÀº ±Ý¹° [3],5,2018.09.19,188293,9.86,1078,572,111,1,5.72512,3.037819,0,0,1,0,0,0,0,1,1,0,0,0,0
85,º¹ÇÐ»ý Á¤¼øÀÌ,¿¹°íÆí,1,2019.03.21,244416,9.87,1083,808,51,1,4.43097,3.305839,0,0,1,0,1,0,0,1,0,0,0,0,0
86,º¹ÇÐ»ý Á¤¼øÀÌ,1È­,2,2019.03.28,264997,9.91,1421,938,64,1,5.362325,3.539663,0,0,1,0,1,0,0,1,0,0,0,0,0
87,º¹ÇÐ»ý Á¤¼øÀÌ,2È­,3,2019.04.04,240538,9.93,1477,989,74,1,6.140402,4.111616,0,0,1,0,1,0,0,1,0,0,0,0,0
88,º¹ÇÐ»ý Á¤¼øÀÌ,3È­,4,2019.04.11,225128,9.9,1489,939,71,1,6.614015,4.170961,0,0,1,0,1,0,0,1,0,0,0,0,0
89,º¹ÇÐ»ý Á¤¼øÀÌ,4È­,5,2019.04.18,215130,9.88,1336,895,58,1,6.210198,4.160275,0,0,1,0,1,0,0,1,0,0,0,0,0
90,³»ÀÏ,¡¡,1,2016.06.24,408064,9.87,1403,1319,293,1,3.438186,3.232336,0,1,0,0,0,0,0,1,0,1,0,0,0
91,³»ÀÏ,¡¡,2,2016.07.01,298281,9.89,1184,1042,0,1,3.969411,3.49335,0,1,0,0,0,0,0,1,0,1,0,0,0
92,³»ÀÏ,¡¡,3,2016.07.08,260420,9.88,1021,803,0,1,3.92059,3.083481,0,1,0,0,0,0,0,1,0,1,0,0,0
93,³»ÀÏ,¡¡,4,2016.07.15,217767,9.9,973,795,0,1,4.468078,3.650691,0,1,0,0,0,0,0,1,0,1,0,0,0
94,³»ÀÏ,¡¡,5,2016.07.22,206652,9.9,943,775,0,1,4.563227,3.750266,0,1,0,0,0,0,0,1,0,1,0,0,0
95,Çï·Îµµ»ç,Çï·Îµµ»ç - Æ÷ÅÙ¾÷ °øÁöÀÔ´Ï´Ù!,1,2018.07.16,271325,9.73,538,269,60,1,1.982862,0.991431,1,0,0,0,0,1,0,0,1,0,0,0,0
96,Çï·Îµµ»ç,1È­,2,2018.07.30,340282,9.91,1833,559,189,1,5.386709,1.642755,1,0,0,0,0,1,0,0,1,0,0,0,0
97,Çï·Îµµ»ç,2È­,3,2018.08.07,203333,9.84,1047,404,107,1,5.149189,1.986889,1,0,0,0,0,1,0,0,1,0,0,0,0
98,Çï·Îµµ»ç,3È­,4,2018.08.14,148495,9.77,928,321,143,1,6.249369,2.161689,1,0,0,0,0,1,0,0,1,0,0,0,0
99,Çï·Îµµ»ç,4È­,5,2018.08.21,125017,9.85,842,282,112,1,6.735084,2.255693,1,0,0,0,0,1,0,0,1,0,0,0,0
100,·çÄ¿ÇÇÃÄ,1,1,2019.11.15,289315,9.85,2474,3749,556,1,8.551233,12.958194,0,0,1,1,0,0,0,0,1,0,0,0,0
101,·çÄ¿ÇÇÃÄ,2,2,2019.11.22,188896,9.88,1917,2839,230,1,10.148441,15.029434,0,0,1,1,0,0,0,0,1,0,0,0,0
102,·çÄ¿ÇÇÃÄ,3,3,2019.11.29,165033,9.91,1605,2521,152,1,9.725328,15.275733,0,0,1,1,0,0,0,0,1,0,0,0,0
103,·çÄ¿ÇÇÃÄ,4,4,2019.12.07,151048,9.9,1767,2537,155,1,11.698268,16.795985,0,0,1,1,0,0,0,0,1,0,0,0,0
104,·çÄ¿ÇÇÃÄ,5,5,2019.12.14,147373,9.92,1761,2542,163,1,11.949272,17.24875,0,0,1,1,0,0,0,0,1,0,0,0,0
105,ÇÏ·ç¸¸ ³×°¡ µÇ°í ½Í¾î,1. ¼Ò¹®ÀÇ µÎ ¿©ÀÚ,1,2019.08.29,230880,9.83,1376,1574,68,1,5.959806,6.817394,0,0,1,0,0,1,0,1,0,0,0,0,0
106,ÇÏ·ç¸¸ ³×°¡ µÇ°í ½Í¾î,"2. ³× °Í, ³» °Í",2,2019.08.29,133136,9.86,1071,1134,36,1,8.044406,8.517606,0,0,1,0,0,1,0,1,0,0,0,0,0
107,ÇÏ·ç¸¸ ³×°¡ µÇ°í ½Í¾î,3. ÀÌ°Ô »ç¶ûÀÏ±î?,3,2019.08.29,122960,9.89,1385,1196,129,1,11.263826,9.72674,0,0,1,0,0,1,0,1,0,0,0,0,0
108,ÇÏ·ç¸¸ ³×°¡ µÇ°í ½Í¾î,¿¬Àç ÀÏÁ¤ °øÁö,4,2019.09.01,106110,9.88,1085,1133,81,1,10.225238,10.677599,0,0,1,0,0,1,0,1,0,0,0,0,0
109,ÇÏ·ç¸¸ ³×°¡ µÇ°í ½Í¾î,4. »ç³É²Û ´ë »ç³É°¨,5,2019.09.11,111275,9.84,1237,1161,111,1,11.116603,10.43361,0,0,1,0,0,1,0,1,0,0,0,0,0
110,¾Æ±â³º´Â¸¸È­,½ÃÀÛÇÕ´Ï´Ù :),1,2017.03.02,224282,9.82,970,226,16,1,4.324912,1.00766,1,0,0,1,0,0,0,0,0,0,0,0,0
111,¾Æ±â³º´Â¸¸È­,1È­ ¾Æ±â µîÀå!,2,2017.03.02,286041,9.88,1438,382,20,1,5.027251,1.335473,1,0,0,1,0,0,0,0,0,0,0,0,0
112,¾Æ±â³º´Â¸¸È­,2È­ ÀÚ¿¬ÀÓ½ÅºÒ°¡,3,2017.03.02,250056,9.87,1189,287,21,1,4.754935,1.147743,1,0,0,1,0,0,0,0,0,0,0,0,0
113,¾Æ±â³º´Â¸¸È­,3È­ ÀÎ°ø¼öÁ¤,4,2017.03.02,207932,9.86,1383,287,82,1,6.651213,1.380259,1,0,0,1,0,0,0,0,0,0,0,0,0
114,¾Æ±â³º´Â¸¸È­,4È­ µÞÅë¼ö,5,2017.03.02,182966,9.87,1238,256,13,1,6.766284,1.399167,1,0,0,1,0,0,0,0,0,0,0,0,0
115,Åõ¸íÇÑ µ¿°Å,1È­ °ÅºÎ¹ÝÀÀ,1,2016.01.13,156241,9.85,1011,714,134,1,6.470773,4.569863,0,0,1,0,0,0,0,1,1,0,0,0,0
116,Åõ¸íÇÑ µ¿°Å,2È­ ´«Ä¡,2,2016.01.20,133764,9.85,1064,572,45,1,7.954308,4.276188,0,0,1,0,0,0,0,1,1,0,0,0,0
117,Åõ¸íÇÑ µ¿°Å,3È­ ÀÔÀå,3,2016.01.27,121725,9.86,939,531,77,1,7.71411,4.362292,0,0,1,0,0,0,0,1,1,0,0,0,0
118,Åõ¸íÇÑ µ¿°Å,4È­ ±â´ë,4,2016.02.03,130236,9.85,1378,1065,180,1,10.580792,8.177462,0,0,1,0,0,0,0,1,1,0,0,0,0
119,Åõ¸íÇÑ µ¿°Å,5È­ È¸º¹±â,5,2016.02.09,110058,9.85,986,617,115,1,8.958913,5.606135,0,0,1,0,0,0,0,1,1,0,0,0,0
120,10¿ù 28ÀÏ,ÇÁ·Ñ·Î±×,1,2016.08.11,172507,9.73,354,98,59,1,2.052091,0.568093,0,0,1,0,0,1,0,0,0,0,1,0,0
121,10¿ù 28ÀÏ,1È­,2,2016.09.01,178824,9.85,419,117,42,1,2.343086,0.654275,0,0,1,0,0,1,0,0,0,0,1,0,0
122,10¿ù 28ÀÏ,2È­,3,2016.09.08,127064,9.84,387,103,40,1,3.045709,0.810615,0,0,1,0,0,1,0,0,0,0,1,0,0
123,10¿ù 28ÀÏ,3È­,4,2016.09.22,113218,9.9,409,88,25,1,3.6125,0.777262,0,0,1,0,0,1,0,0,0,0,1,0,0
124,10¿ù 28ÀÏ,4È­,5,2017.01.05,107908,9.88,367,73,15,1,3.401045,0.676502,0,0,1,0,0,1,0,0,0,0,1,0,0
125,ÇÕ¹ýÇØÀû ÆÄ¸£Æä,1È­    ¿¬Àç ÇùÀÇÁß^_^)9,1,2017.11.25,298826,9.89,3922,1331,272,1,13.124695,4.454097,0,0,1,0,0,1,0,0,0,0,0,0,0
126,ÇÕ¹ýÇØÀû ÆÄ¸£Æä,2È­,2,2017.12.02,189422,9.9,3785,1090,139,1,19.981839,5.754347,0,0,1,0,0,1,0,0,0,0,0,0,0
127,ÇÕ¹ýÇØÀû ÆÄ¸£Æä,3È­,3,2017.12.09,152967,9.9,3041,981,90,1,19.880105,6.413148,0,0,1,0,0,1,0,0,0,0,0,0,0
128,ÇÕ¹ýÇØÀû ÆÄ¸£Æä,4È­,4,2017.12.16,134857,9.9,3207,932,66,1,23.780746,6.911024,0,0,1,0,0,1,0,0,0,0,0,0,0
129,ÇÕ¹ýÇØÀû ÆÄ¸£Æä,5È­,5,2017.12.16,130998,9.9,3165,929,90,1,24.160674,7.091711,0,0,1,0,0,1,0,0,0,0,0,0,0
130,¾ÆÈ©¼ö ¿ì¸®µé,-,1,2017.11.29,234863,9.9,1687,458,320,1,7.182911,1.950073,0,0,1,0,0,0,0,1,1,0,0,0,0
