제목,장르,에피소드,옴니버스,스토리,일상,개그,판타지,액션,드라마,순정,감성,스릴러,시대극,스포츠,좋아요,별점,정식연재
Hello Death! [헬로데스],스토리,0,0,1,0,0,1,0,1,0,0,0,0,0,939,9.84,0
HolloW,스토리,0,0,1,0,0,1,0,0,0,0,0,0,0,118,9.86,0
IDOL FAN,순정,0,0,1,0,0,0,0,1,1,0,0,0,0,669,9.57,0
IF,드라마,0,0,1,0,0,1,0,1,0,0,0,0,0,226,9.59,0
INCURSION - 나락의 도시,스토리,0,0,1,0,0,0,1,0,0,0,1,0,0,873,9.76,0
Jun과 나,스토리,0,0,1,0,0,0,0,1,1,0,0,0,0,"8,234",9.89,0
L.C.S.F,개그,0,1,0,0,1,0,0,0,1,0,0,0,0,80,9.81,0
LADS'PARTY,드라마,0,0,1,0,0,1,0,1,0,0,0,0,0,"3,691",9.57,0
LAYERS,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,19,9.71,0
LIVE 썸&쌈,드라마,0,0,1,0,0,0,0,1,1,0,0,0,0,"5,439",9.42,0
LOS,스토리,0,0,1,0,1,0,1,0,0,0,0,0,0,37,9.79,0
LOST,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,8,9.67,1
LOST ISLAND,스릴러,0,0,1,0,0,0,0,0,0,0,1,0,0,16,9.76,0
LOVE FICTION,감성,0,0,1,0,0,0,0,1,0,1,0,0,0,35,9.73,0
LOVE FIVE!,스토리,0,0,1,0,0,0,0,1,0,0,0,0,1,227,8.92,0
LSD,순정,1,0,0,1,0,0,0,0,1,0,0,0,0,"7,683",9.86,0
Live Live Dead,액션,0,0,1,0,0,0,1,0,0,0,0,0,0,124,9.47,0
MASK BOY,옴니버스,0,1,0,0,0,0,0,0,0,0,0,0,0,24,9.55,0
MASQUE,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,6,9.76,0
MODEL (모델),스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,72,8.14,0
MY 0호 팬 (마이영호팬),스토리,0,0,1,0,0,0,0,1,1,0,0,0,0,803,9.86,0
Mrs. Alice,드라마,0,0,1,0,0,1,0,1,0,0,0,0,0,675,9.81,0
My OH,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,70,9.78,1
NEIGHBORHOOD,옴니버스,0,1,0,1,0,0,0,0,0,0,0,0,0,22,9.59,0
NEXUS,에피소드,1,0,0,1,1,0,0,0,0,0,0,0,0,568,9.87,0
NIHIL DANT,옴니버스,0,1,0,0,0,0,0,0,0,0,0,0,0,878,9.82,0
Natural Born Idiots,에피소드,1,0,0,0,0,0,0,0,0,0,0,0,0,69,9.79,1
New 생각대로 양파링,개그,1,0,0,1,1,0,0,0,0,0,0,0,0,45,9.44,0
NoNameD,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,49,9.78,1
ONE DAY (원데이),스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,34,9.74,0
OO마트에 놀러오세요.,옴니버스,0,1,0,1,1,0,0,0,0,0,0,0,0,"1,137",9.79,0
One Bite Of The Apple,드라마,0,1,0,0,0,0,0,1,0,1,0,0,0,209,9.82,0
PANDEMIC,판타지,0,1,0,0,1,1,0,0,0,0,0,0,0,"2,099",9.83,0
PI(파이),스토리,0,0,1,0,0,1,0,0,0,0,0,0,0,951,9.75,0
PWAP(피와피),스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,49,9.76,0
Penguin loves Mev,에피소드,1,0,0,0,0,0,0,0,0,0,0,0,0,43,9.76,1
"Please Me, Please",스토리,0,0,1,0,0,1,0,0,1,0,0,0,0,"1,163",9.78,0
"Please kiss me, Princess",순정,0,0,1,0,0,1,0,0,1,0,0,0,0,"7,831",9.89,0
Princess of Dream,스토리,0,0,1,0,0,0,0,1,1,0,0,0,0,"8,358",9.85,0
Punky Punky Life,에피소드,1,0,0,0,1,0,0,0,0,0,0,0,0,45,9.8,0
RED STORM,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,4,9.56,0
RUN,액션,0,0,1,0,0,0,1,1,0,0,0,0,0,"1,071",9.79,0
RUN!,스토리,0,0,1,0,0,0,0,1,0,1,0,0,0,53,8.58,0
SAURUS,드라마,0,0,1,0,0,0,1,1,0,0,0,0,0,433,9.82,0
SCP-The Administrator,액션,0,0,1,0,0,0,1,0,0,0,1,0,0,255,8.82,0
SDB,스포츠,0,0,1,0,0,0,0,1,0,0,0,0,1,280,9.68,0
SORRY MAN,개그,0,0,1,0,1,0,0,0,0,0,0,0,0,39,9.67,0
SSAW,드라마,0,0,1,1,0,0,0,1,0,0,0,0,0,735,9.76,0
STONE AGE,판타지,0,0,1,0,0,1,0,0,0,0,1,0,0,"4,858",9.89,0
STUPOR MUNDI,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,12,9.32,0
Save Me,판타지,0,0,1,0,0,1,0,1,0,0,0,0,0,"3,348",9.86,0
Scapegoat,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,8,9.63,0
Somewhere,순정,0,1,0,1,0,0,0,0,1,0,0,0,0,"3,877",9.86,0
Soul Guide -소울 가이드-,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,36,9.65,0
Stupor Mundi,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,5,9.59,0
S군의 직딩일기 시즌2,에피소드,1,0,0,1,0,0,0,0,0,0,0,0,0,162,9.65,0
S탐정 앙드레,스토리,0,0,1,0,1,0,0,1,0,0,0,0,0,"1,044",9.93,0
THE 극한가장,일상,1,0,0,1,1,0,0,0,0,0,0,0,0,798,9.76,0
TWINS,일상,0,0,1,1,0,0,0,0,0,0,0,0,0,78,9.7,0
The A,스토리,0,0,1,0,0,0,0,0,0,0,1,0,0,201,9.82,0
The Hole,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,34,9.77,0
The Masque,스토리,0,0,1,0,0,0,0,0,1,0,0,0,0,101,9.81,0
The R.R.H,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,29,9.76,0
Tilly the spiky hands,에피소드,1,0,0,1,0,0,0,0,0,0,0,0,0,"1,310",9.88,0
To.[M],판타지,0,0,1,0,0,1,0,0,0,0,0,0,0,438,9.81,0
Twins Love Story (트윈스 러브 스토리),순정,0,0,1,0,0,0,0,0,1,0,0,0,0,"14,913",9.86,0
Two Coffins (투카핀스),드라마,0,0,1,0,0,0,0,1,0,0,0,1,0,"1,157",9.64,0
U.S.P.O.,스토리,0,0,1,0,0,1,0,1,0,0,0,0,0,186,9.32,0
UNDER UPRISE,스토리,0,0,1,0,0,0,1,1,0,0,0,0,0,336,9.81,0
WINGS,스릴러,0,0,1,0,0,1,0,0,0,0,1,0,0,125,9.8,0
WaNDerer,스토리,0,0,1,0,0,1,0,0,0,1,0,0,0,546,9.86,0
Walking In The Dark,스토리,0,0,1,0,0,0,1,1,0,0,0,0,0,468,9.86,0
YUGA,에피소드,1,0,0,0,0,0,0,0,0,0,0,0,0,18,9.69,0
ZET,스토리,0,0,1,0,0,1,1,0,0,0,0,0,0,160,9.24,0
[BL] Fools,스토리,0,0,1,0,0,0,0,0,1,0,0,0,0,532,9.35,0
[BL] HOLY JUNK,드라마,0,0,1,1,0,0,0,1,0,0,0,0,0,"2,179",9.54,0
[H愛TE],옴니버스,0,1,0,0,0,0,0,0,0,0,0,0,0,34,9.63,0
[그녀의 비무다],옴니버스,0,1,0,0,0,0,0,0,0,0,0,0,0,26,9.68,0
[글레이저],스릴러,0,0,1,0,0,1,0,0,0,0,1,0,0,23,9.62,0
[세계여행이야기]World Travel Diary,일상,1,0,0,1,1,0,0,0,0,0,0,0,0,"6,784",9.89,0
[수잉츄|CRAZY CRAYON],에피소드,1,0,0,0,0,0,0,0,0,0,0,0,0,17,9.71,0
[실화] 사랑하니까 시즌1,옴니버스,0,1,0,0,0,0,0,0,0,0,0,0,0,97,9.76,0
[실화] 사랑하니까 시즌4,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,59,9.67,0
[야메떼 오이상],스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,25,9.62,1
[울지마],스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,13,9.64,0
[월이의] 언니다님의 살빠지는 세상,에피소드,1,0,0,0,0,0,0,0,0,0,0,0,0,40,9.71,0
[좀비]이게무슨일?,스토리,0,0,1,0,0,0,0,1,0,0,1,0,0,107,9.43,0
[지냥이] 친절한 '공익'씨,에피소드,1,0,0,0,0,0,0,0,0,0,0,0,0,105,5.23,0
