,À¥Å÷ Á¦¸ñ,È¸Â÷ Á¦¸ñ,È¸Â÷,µî·ÏÀÏ,Á¶È¸¼ö,È¸Â÷º° º°Á¡,º°Á¡ Âü¿©ÀÎ¿ø¼ö,ÁÁ¾Æ¿ä¼ö,Á¤½Ä¿¬Àç,Á¶È¸¼ö ´ëºñ º°Á¡Âü¿©,Á¶È¸¼ö ´ëºñ ÁÁ¾Æ¿ä
59,±Í°¢½Ã,-4-,5,2014.07.25,169749,9.87,2331,1351,1,0.01373203965855469,0.007958809772075241
60,À×¿©Æ¯°ø´ë,1,1,2018.02.14,478122,9.78,1924,2044,1,0.004024077536695655,0.00427505950364133
61,À×¿©Æ¯°ø´ë,2,2,2018.02.21,327122,9.88,1471,1532,1,0.004496793245333545,0.004683268016214134
62,À×¿©Æ¯°ø´ë,3,3,2018.02.28,282310,9.85,1444,1387,1,0.005114944564485849,0.004913038857992986
63,À×¿©Æ¯°ø´ë,4,4,2018.03.07,258251,9.89,1307,1302,1,0.005060967818130423,0.005041606808879733
64,À×¿©Æ¯°ø´ë,5,5,2018.03.14,248875,9.91,1232,1245,1,0.004950276243093923,0.005002511300853842
65,¿À´Ãµµ ÇüÁ¦´Â ÆòÈ­·Ó´Ù,¹è·Á,1,2016.10.04,252925,9.85,1904,1107,1,0.007527923297420184,0.004376791538993773
66,¿À´Ãµµ ÇüÁ¦´Â ÆòÈ­·Ó´Ù,¿ì¾Ö,2,2016.10.10,210825,9.88,1684,1033,1,0.007987667496739001,0.004899798411004387
67,¿À´Ãµµ ÇüÁ¦´Â ÆòÈ­·Ó´Ù,¹«´ë,3,2016.10.19,183780,9.85,1452,820,1,0.007900750897812602,0.004461856567635216
68,¿À´Ãµµ ÇüÁ¦´Â ÆòÈ­·Ó´Ù,¼Ò°³,4,2016.11.28,172672,9.9,1494,890,1,0.008652242401779095,0.005154280948851001
69,¿À´Ãµµ ÇüÁ¦´Â ÆòÈ­·Ó´Ù,Ã¼³ä,5,2016.12.06,182154,9.91,2379,1239,1,0.013060377482789287,0.006801936822688494
70,°£¶³¾îÁö´Â µ¿°Å,1,1,2017.02.19,300464,9.87,964,365,1,0.003208371052771713,0.0012147877948772564
71,°£¶³¾îÁö´Â µ¿°Å,2,2,2017.03.07,221107,9.84,873,302,1,0.003948314616904937,0.0013658545410140791
72,°£¶³¾îÁö´Â µ¿°Å,3,3,2017.03.15,190020,9.86,1026,336,1,0.005399431638774866,0.001768234922639722
73,°£¶³¾îÁö´Â µ¿°Å,º£½ºÆ® µµÀü,4,2017.04.02,146513,9.85,778,241,1,0.005310109000566503,0.0016449052302526055
74,°£¶³¾îÁö´Â µ¿°Å,4,5,2017.04.05,172734,9.89,1185,358,1,0.0068602591267498,0.0020725508585455093
75,¿À´Ãµµ »ç¶ûÇÏ¼¼¿ä,1È­,1,2019.06.04,300592,9.86,1527,2116,1,0.005079975514983765,0.00703944216745622
76,¿À´Ãµµ »ç¶ûÇÏ¼¼¿ä,2È­,2,2019.06.11,242512,9.93,1286,1790,1,0.005302830375404103,0.007381078049745992
77,¿À´Ãµµ »ç¶ûÇÏ¼¼¿ä,3È­,3,2019.06.18,206959,9.95,1200,1610,1,0.005798249894906721,0.00777931860899985
78,¿À´Ãµµ »ç¶ûÇÏ¼¼¿ä,4È­,4,2019.06.25,193245,9.89,1256,1586,1,0.006499521333022847,0.00820719811638076
79,¿À´Ãµµ »ç¶ûÇÏ¼¼¿ä,º£µµ°¨»ç,5,2019.06.28,184933,9.91,1105,1376,1,0.005975136941486917,0.007440532517181899
80,»îÀÌ ¿ì¸®¸¦ ¼ÓÀÏÁö¶óµµ,1È­ ½ÃÀÛ [1],1,2018.08.22,354386,9.81,1986,875,1,0.005604058851083282,0.002469059161479291
81,»îÀÌ ¿ì¸®¸¦ ¼ÓÀÏÁö¶óµµ,2È­ ½ÃÀÛ [2],2,2018.08.29,261533,9.88,1626,744,1,0.006217188653057167,0.002844765287745715
82,»îÀÌ ¿ì¸®¸¦ ¼ÓÀÏÁö¶óµµ,3È­ ¹æ½ÉÀº ±Ý¹° [1],3,2018.09.05,217829,9.85,1237,639,1,0.005678766371787044,0.0029334937037768156
83,»îÀÌ ¿ì¸®¸¦ ¼ÓÀÏÁö¶óµµ,4È­ ¹æ½ÉÀº ±Ý¹° [2],4,2018.09.12,194509,9.87,1129,540,1,0.005804358667208201,0.0027762211517204857
84,»îÀÌ ¿ì¸®¸¦ ¼ÓÀÏÁö¶óµµ,5È­ ¹æ½ÉÀº ±Ý¹° [3],5,2018.09.19,188293,9.86,1078,572,1,0.005725119892932823,0.003037818718699049
85,º¹ÇÐ»ý Á¤¼øÀÌ,¿¹°íÆí,1,2019.03.21,244416,9.87,1083,808,1,0.004430970149253731,0.0033058392249279917
86,º¹ÇÐ»ý Á¤¼øÀÌ,1È­,2,2019.03.28,264997,9.91,1421,938,1,0.00536232485650781,0.0035396627131627904
87,º¹ÇÐ»ý Á¤¼øÀÌ,2È­,3,2019.04.04,240538,9.93,1477,989,1,0.006140401932335016,0.00411161645976935
88,º¹ÇÐ»ý Á¤¼øÀÌ,3È­,4,2019.04.11,225128,9.9,1489,939,1,0.006614015138054796,0.004170960520237376
