,À¥Å÷ Á¦¸ñ,È¸Â÷ Á¦¸ñ,È¸Â÷,µî·ÏÀÏ,Á¶È¸¼ö,È¸Â÷º° º°Á¡,º°Á¡ Âü¿©ÀÎ¿ø¼ö,ÁÁ¾Æ¿ä¼ö,Á¤½Ä¿¬Àç,Á¶È¸¼ö ´ëºñ º°Á¡Âü¿©,Á¶È¸¼ö ´ëºñ ÁÁ¾Æ¿ä
1324,°¡Á·°°ÀºÈ¸»ç,½ÃÁð1) 1È­. ¸éÁ¢,2,2016.03.23,112768,9.83,494,263,0,0.004380675368898979,0.00233222190692395
1325,°¡Á·°°ÀºÈ¸»ç,½ÃÁð1) 2È­. È¯¿µÈ¸,3,2016.03.31,99010,9.81,429,229,0,0.0043328956671043325,0.002312897687102313
1326,°¡Á·°°ÀºÈ¸»ç,½ÃÁð1) 3È­. NO ¾ß±ÙÀÇ ¹ýÄ¢!,4,2016.04.07,92011,9.81,400,208,0,0.004347306300333656,0.002260599276173501
1327,°¡Á·°°ÀºÈ¸»ç,½ÃÁð1) 4È­. »çÀå´ÔÀº °ÔÀÓ Áßµ¶!,5,2016.04.14,87493,9.83,396,202,0,0.004526076371824032,0.0023087561290617534
1328,³²ÀÇ »ç¶û ÀÌ¾ß±â,1,1,2020.07.07,130589,9.67,1305,1386,0,0.009993184724593955,0.0106134513626722
1329,³²ÀÇ »ç¶û ÀÌ¾ß±â,2,2,2020.07.18,82807,9.72,1074,1133,0,0.012969918002101271,0.013682418153054694
1330,³²ÀÇ »ç¶û ÀÌ¾ß±â,3,3,2020.07.23,72240,9.79,1039,1090,0,0.014382613510520488,0.01508859357696567
1331,³²ÀÇ »ç¶û ÀÌ¾ß±â,4,4,2020.08.24,70022,9.85,989,1096,0,0.014124132415526548,0.015652223586872696
1332,³²ÀÇ »ç¶û ÀÌ¾ß±â,º£µµ°¨»çÀÎ»ç,5,2020.08.31,68097,9.88,926,1116,0,0.013598249555780725,0.0163883871536191
1333,¿¢½ºÅÙ,1È­ - Àú³ðÀÌ ±¹°¡´ëÇ¥ ÈÄº¸¶ó°í?,1,2018.09.01,117184,9.74,453,341,0,0.0038657154560349538,0.002909953577280175
1334,¿¢½ºÅÙ,2È­ - ±× ³à¼®°ú ³­ °°Àº ¹Ý! µÞÀÚ¸®!,2,2018.09.05,78901,9.75,357,254,0,0.004524657482161189,0.003219224090949418
1335,¿¢½ºÅÙ,3È­ - ±×³É ´ç°Ü,3,2018.09.08,74747,9.76,370,255,0,0.004950031439388872,0.0034115081541734116
1336,¿¢½ºÅÙ,4È­ - ½ÂºÎ¸¦ º¸ÀÚ,4,2018.09.12,74675,9.69,387,246,0,0.005182457315031804,0.003294275192500837
1337,¿¢½ºÅÙ,5È­ - Èï¹Ì·ÓÁö ¾Ê¾Æ?,5,2018.09.15,71360,9.74,364,258,0,0.005100896860986547,0.003615470852017937
1338,±×·¡ÀÏ±â,ÇÁ·Ñ·Î±×,1,2015.04.24,114373,9.91,1531,1045,0,0.013386026422319954,0.009136771790544972
1339,±×·¡ÀÏ±â,1È­ °Å·èÇÑ Ãë¹Ì,2,2015.05.01,110077,9.89,1341,745,0,0.012182381423912352,0.0067679896799513065
1340,±×·¡ÀÏ±â,2È­ Áßµ¶ÀÌ ¹«¼­¿ö,3,2015.05.08,80868,9.9,1091,594,0,0.013491121333531187,0.007345303457486274
1341,±×·¡ÀÏ±â,"3È­ ½Ä¿å, ±×¸®°í ³ª",4,2015.05.15,74882,9.88,1044,636,0,0.013941935311556849,0.008493362890948425
1342,±×·¡ÀÏ±â,4È­ ¾ö¸¶,5,2015.05.22,64481,9.9,1189,823,0,0.018439540329709528,0.012763449698360758
1343,½ºÅ¸ÀÇ ÇÐ±³»ýÈ°,ÇÁ·Ñ·Î±×,1,2019.09.05,83644,9.66,387,493,0,0.0046267514705179095,0.005894027067093874
1344,½ºÅ¸ÀÇ ÇÐ±³»ýÈ°,1È­,2,2019.09.15,88993,9.68,342,493,0,0.0038429988875529537,0.00553976155427955
1345,½ºÅ¸ÀÇ ÇÐ±³»ýÈ°,2È­,3,2019.09.25,74071,9.72,343,433,0,0.004630692173725209,0.00584574259831783
1346,½ºÅ¸ÀÇ ÇÐ±³»ýÈ°,3È­,4,2019.10.05,65465,9.82,321,411,0,0.004903383487359658,0.006278163904376384
1347,½ºÅ¸ÀÇ ÇÐ±³»ýÈ°,4È­,5,2019.10.15,62000,9.73,274,387,0,0.004419354838709678,0.006241935483870968
1348,"4¿ù,º¢²É ¿ì¸®µé",ÇÁ·Ñ·Î±×.,1,2017.04.18,157101,9.88,542,197,0,0.0034500098662643775,0.0012539703757455396
1349,"4¿ù,º¢²É ¿ì¸®µé",1È­.½ÃÀÛ,2,2017.04.25,176865,9.86,604,255,0,0.0034150340655302066,0.001441777627003647
1350,"4¿ù,º¢²É ¿ì¸®µé",2È­.¸¶À½ÀÌ,3,2017.05.02,146733,9.87,556,233,0,0.0037891953411979583,0.0015879181915451875
1351,"4¿ù,º¢²É ¿ì¸®µé",3.´ÙÁü,4,2017.05.09,127305,9.9,547,226,0,0.004296767605357213,0.0017752641294528887
1352,"4¿ù,º¢²É ¿ì¸®µé",4.Áú¹®,5,2017.05.16,118406,9.87,536,230,0,0.004526797628498556,0.001942469131631843
1353,´õºí·¢LABEL,¸¶Áö¸·°øÁö,1,2018.06.28,59838,9.6,298,106,0,0.00498011297169023,0.0017714495805341087
1354,½Å º°ÁÖºÎÀü,¿¹°í,1,2018.05.24,87662,9.85,369,254,0,0.004209349547124181,0.002897492642193881
1355,½Å º°ÁÖºÎÀü,1È­,2,2018.05.31,97055,9.88,423,293,0,0.0043583535108958835,0.0030189068054196073
1356,½Å º°ÁÖºÎÀü,2È­,3,2018.06.07,74994,9.91,405,268,0,0.005400432034562765,0.003573619222871163
1357,½Å º°ÁÖºÎÀü,3È­,4,2018.06.14,70840,9.91,387,284,0,0.005463015245623941,0.004009034443817052
1358,½Å º°ÁÖºÎÀü,4È­,5,2018.06.21,65243,9.92,333,258,0,0.005103995830970372,0.003954447220391459
1359,Cafe OK,¿¬Àç Áß´Ü °øÁö,1,2017.02.01,91254,9.87,1224,743,0,0.01341311065816293,0.008142108839064589
1360,Cafe OK,Æ¯º°Æí,2,2017.02.10,58852,9.88,819,537,0,0.013916264527968463,0.009124583701488479
1361,Cafe OK,Á¤½Ä¿¬Àç°øÁö,3,2017.06.13,66528,9.88,536,130,0,0.008056758056758057,0.001954064454064454
1362,Cafe OK,cafe ok Ã¥ÀÌ ³ª¿Ô¾î¿ä!,4,2018.05.06,18917,9.82,198,67,0,0.010466775915842892,0.0035417878099064334
1363,ºÀºÀ¹Ì¿¤ È«Â÷Å¬·´,ÇÁ·Ñ·Î±×,1,2012.12.21,120265,9.84,2587,617,0,0.02151083024986488,0.005130337172078327
1364,ºÀºÀ¹Ì¿¤ È«Â÷Å¬·´,1. ºÀ±¸¾¾ÀÇ ¾î´À³¯ ¹ã,2,2012.12.28,107390,9.84,2531,561,0,0.0235683024490176,0.005223950088462613
1365,ºÀºÀ¹Ì¿¤ È«Â÷Å¬·´,2. ¶æ¹ÛÀÇ ¼Õ´Ô,3,2013.01.04,90800,9.86,2408,510,0,0.026519823788546254,0.005616740088105727
1366,ºÀºÀ¹Ì¿¤ È«Â÷Å¬·´,3. ´Ù½Ã Ã£¾Æ¿Â ¼Õ´Ô,4,2013.01.11,84819,9.85,2314,491,0,0.027281623221212227,0.0057887973213548855
1367,ºÀºÀ¹Ì¿¤ È«Â÷Å¬·´,4. ¹Ì¿¤,5,2013.01.18,76967,9.87,2311,481,0,0.030025855236659866,0.00624943157457092
1368,^-^ (Ä³·µÇÏÀÌÇÂÄ³·µ),Æ÷ÅÙ¾÷ °øÁö,1,2019.04.03,61790,9.62,364,346,0,0.005890920860980742,0.00559961158763554
1369,^-^ (Ä³·µÇÏÀÌÇÂÄ³·µ),1È­,2,2019.04.29,97048,9.51,540,724,0,0.005564256862583464,0.007460225867611903
1370,^-^ (Ä³·µÇÏÀÌÇÂÄ³·µ),2È­,3,2019.05.06,63970,9.38,458,537,0,0.00715960606534313,0.008394559949976552
1371,^-^ (Ä³·µÇÏÀÌÇÂÄ³·µ),3È­,4,2019.05.13,47687,8.74,463,425,0,0.009709145050013631,0.008912282173338646
1372,^-^ (Ä³·µÇÏÀÌÇÂÄ³·µ),4È­,5,2019.05.20,41535,9.08,516,384,0,0.01242325749368003,0.009245214879017695
1373,ÀúÁÖ¿Í º°°¡·ç,1.ÀÌ»óÇÑ »ç¶÷,1,2017.11.12,171669,9.62,782,982,0,0.004555277889426746,0.005720310597720031
1374,ÀúÁÖ¿Í º°°¡·ç,2.º°°¡·ç,2,2017.11.19,141295,9.72,728,901,0,0.005152340847163735,0.0063767295374924805
1375,ÀúÁÖ¿Í º°°¡·ç,3.ÀúÁÖÄ«Æä,3,2017.11.26,131993,9.73,701,876,0,0.005310887698590077,0.00663671558340215
1376,ÀúÁÖ¿Í º°°¡·ç,4-1.¾Ë¹Ù,4,2017.12.16,122336,9.71,653,814,0,0.005337758304996077,0.006653805911587758
1377,ÀúÁÖ¿Í º°°¡·ç,4-2.¾Ë¹Ù(2),5,2017.12.24,113189,9.71,603,755,0,0.005327372801243937,0.006670259477511066
1378,¾²·¹±â ¼ºÀÇ ¼Ò³à,1È­,1,2020.08.31,165074,9.84,1780,2039,0,0.010783042756581897,0.012352036056556454
1379,¾²·¹±â ¼ºÀÇ ¼Ò³à,2È­,2,2020.09.07,80789,9.88,1185,1370,0,0.014667838443352437,0.0169577541496986
1380,¾²·¹±â ¼ºÀÇ ¼Ò³à,3È­,3,2020.09.14,72831,9.9,1163,1354,0,0.015968474962584613,0.018590984608202552
1381,¾²·¹±â ¼ºÀÇ ¼Ò³à,4È­,4,2020.09.21,65802,9.91,1155,1253,0,0.017552657973921765,0.019041974408072704
1382,¾²·¹±â ¼ºÀÇ ¼Ò³à,5È­,5,2020.09.28,65169,9.89,1165,1316,0,0.01787659776887784,0.02019365035523025
1383,Guarding - ±×³à´Â ³ªÀÇ À¢¼ö..,prologue,1,2015.04.16,43204,9.84,164,86,0,0.003795944819924081,0.001990556429960189
1384,Guarding - ±×³à´Â ³ªÀÇ À¢¼ö..,1È­,2,2015.04.16,35495,9.72,156,69,0,0.004394985209184393,0.0019439357656007889
1385,Guarding - ±×³à´Â ³ªÀÇ À¢¼ö..,2È­,3,2015.04.20,15986,9.82,163,68,0,0.010196421869135493,0.0042537220067559115
1386,Guarding - ±×³à´Â ³ªÀÇ À¢¼ö..,°øÁö,4,2015.07.30,28388,9.49,35,35,0,0.0012329153163308441,0.0012329153163308441
1387,¾ÆÆÄÆ®¿ë»ç,0È­,1,2018.12.16,113642,8.2,1282,356,0,0.011281040460393164,0.003132644620826807
1388,¾ÆÆÄÆ®¿ë»ç,1È­,2,2018.12.19,87601,8.85,1425,345,0,0.01626693759203662,0.003938311206493077
1389,¾ÆÆÄÆ®¿ë»ç,2È­,3,2018.12.26,70913,9.29,871,268,0,0.01228265621254213,0.0037792788346283474
1390,¾ÆÆÄÆ®¿ë»ç,3È­,4,2019.01.02,63822,9.14,658,230,0,0.010309924477452916,0.003603772993638557
1391,¾ÆÆÄÆ®¿ë»ç,4È­,5,2019.01.09,54408,9.3,540,206,0,0.009925011027790032,0.0037862079106013823
1392,ÀÎ»ý»çÁø,Ep1. ºÒ¹ý µµ¹Ú (1),1,2019.10.01,60586,9.59,321,328,0,0.005298253721981976,0.005413791965140462
1393,ÀÎ»ý»çÁø,Ep1. ºÒ¹ý µµ¹Ú (2),2,2019.10.08,43945,9.73,237,275,0,0.005393105017635681,0.006257822277847309
1394,ÀÎ»ý»çÁø,Ep1. ºÒ¹ý µµ¹Ú (3),3,2019.10.15,38562,9.7,205,224,0,0.0053161143094237855,0.0058088273429801355
1395,ÀÎ»ý»çÁø,Ep1. ºÒ¹ý µµ¹Ú (4),4,2019.10.22,37180,9.76,221,233,0,0.005944055944055944,0.006266810112963959
1396,ÀÎ»ý»çÁø,Ep1. ºÒ¹ý µµ¹Ú (END),5,2019.10.29,37853,9.75,222,235,0,0.005864792750904816,0.006208226560642485
1397,´ëÀÛÀ¸·Î °¡´Â ±æ,¿ôÁö ¾Ê´Â ¼Ò³à¿Í °³±× Áö¸Á»ý [¿Ï],1,2018.03.14,36339,9.85,418,209,0,0.011502793142353945,0.005751396571176973
1398,´ëÀÛÀ¸·Î °¡´Â ±æ,Á¤½Ä¿¬Àç °øÁö,2,2019.07.07,24852,9.71,151,178,0,0.006075969740865926,0.007162401416384999
1399,¹ìÇÁ ºê¶ó´õ½º,1È­,1,2017.09.05,72662,9.85,369,218,0,0.005078307781233657,0.0030001926729239493
1400,¹ìÇÁ ºê¶ó´õ½º,2È­,2,2017.09.12,52516,9.85,298,181,0,0.00567446111661208,0.003446568664787874
1401,¹ìÇÁ ºê¶ó´õ½º,3È­,3,2017.09.19,47955,9.84,277,156,0,0.0057762485663642995,0.003253049734125743
1402,¹ìÇÁ ºê¶ó´õ½º,4È­,4,2017.09.26,45629,9.87,274,162,0,0.006004952990422758,0.0035503736658703895
1403,¹ìÇÁ ºê¶ó´õ½º,Ãß¼®Æ¯º°Æí,5,2017.10.03,36485,9.87,230,152,0,0.006303960531725367,0.004166095655748938
1404,±â°èÀÎ(Ñ¦ÌþìÑ),Á¦1È­ - ¼Ò°³ÆÃ,1,2018.05.12,90788,9.58,427,277,0,0.004703264748645196,0.003051064017271005
1405,±â°èÀÎ(Ñ¦ÌþìÑ),Á¦ 2È­ - Plan,2,2018.05.26,65545,9.73,379,211,0,0.005782286978411778,0.0032191624075062933
1406,±â°èÀÎ(Ñ¦ÌþìÑ),Á¦ 3È­ - ¿ªÀü(æ¾îú / æ½ï®),3,2018.06.10,58143,9.71,323,200,0,0.005555268905973204,0.003439794988218702
1407,±â°èÀÎ(Ñ¦ÌþìÑ),Á¦ 4È­ - ¿ªÀü2 (æ¾îú / æ½ï®),4,2018.07.12,50453,9.77,322,202,0,0.006382177472102749,0.0040037262402632156
1408,±â°èÀÎ(Ñ¦ÌþìÑ),Á¦ 5È­ - Å¸¶ô,5,2018.11.18,42483,9.66,252,186,0,0.005931784478497282,0.004378221876986089
1409,º°À»Áö³ª,1È­ - ½Ã²ô·´´Ù°í!!,1,2018.11.26,50473,9.59,170,177,0,0.003368137420006736,0.003506825431418778
1410,º°À»Áö³ª,2È­ - ´ç½Å ¹¹¾ß...,2,2018.12.06,40178,9.42,144,137,0,0.0035840509731693963,0.0034098262730847726
1411,º°À»Áö³ª,3È­ - ¹ÌÃÆ³ªºÁ...,3,2018.12.16,35920,9.6,113,133,0,0.003145879732739421,0.0037026726057906457
1412,º°À»Áö³ª,4È­ - ¹¹ÇÏ¼¼¿ä?,4,2018.12.26,33489,9.61,114,126,0,0.0034041028397384216,0.0037624294544477293
1413,º°À»Áö³ª,5È­ - °±À»°Ô¿ä...,5,2019.01.06,31678,9.65,111,118,0,0.0035040090914830483,0.00372498263779279
1414,º¸ÀÌÁö ¾Ê´Â »ç¶÷,01. º¸ÀÌÁö ¾Ê´Â ¹Ì·¡,1,2018.11.08,101550,9.39,314,306,0,0.0030920728705071394,0.003013293943870015
1415,º¸ÀÌÁö ¾Ê´Â »ç¶÷,02. º¸ÀÌÁö ¾Ê´Â »ç¶÷,2,2018.11.15,66649,9.38,286,250,0,0.004291137151345106,0.0037509940134135547
1416,º¸ÀÌÁö ¾Ê´Â »ç¶÷,03. º¸ÀÌÁö ¾Ê´Â °áÀÇ,3,2018.11.22,61557,9.34,251,241,0,0.00407752164660396,0.003915070584986273
1417,º¸ÀÌÁö ¾Ê´Â »ç¶÷,04. º¸ÀÌÁö ¾Ê´Â °³Àü,4,2018.11.29,55633,8.85,263,219,0,0.00472740999047328,0.003936512501572807
1418,º¸ÀÌÁö ¾Ê´Â »ç¶÷,05. º¸ÀÌÁö ¾Ê´Â ÀüÀï (1),5,2018.12.06,48719,8.99,200,189,0,0.004105174572548697,0.003879389971058519
1419,ÀÌ»óÂ¡ÈÄ(ì¶ßÈó£ý¦),(±¸).,1,2012.06.11,48773,9.88,1603,213,0,0.03286654501465975,0.0043671703606503595
1420,ÀÌ»óÂ¡ÈÄ(ì¶ßÈó£ý¦),(±¸).,2,2012.08.25,46902,9.88,1566,202,0,0.033388768069591915,0.004306852586243657
1421,ÀÌ»óÂ¡ÈÄ(ì¶ßÈó£ý¦),(±¸).,3,2013.06.17,36618,9.87,1081,175,0,0.02952100060079742,0.004779070402534273
1422,ÀÌ»óÂ¡ÈÄ(ì¶ßÈó£ý¦),(±¸).,4,2013.10.27,36429,9.88,1082,196,0,0.02970161135359192,0.00538032885887617
1423,ÀÌ»óÂ¡ÈÄ(ì¶ßÈó£ý¦),(±¸).,5,2014.05.15,32630,9.87,719,213,0,0.022034937174379404,0.006527735212994177
1424,³ªºÎÈ°,1È­ ÇÁ·Ñ·Î±×,1,2021.01.29,72258,9.64,693,929,0,0.009590633563065682,0.012856707907774918
1425,³ªºÎÈ°,2È­ ±×¸¸,2,2021.02.05,53458,9.79,541,684,0,0.010120094279621385,0.012795091473680272
1426,³ªºÎÈ°,3È­ ¸®Àú·º¼Ç,3,2021.02.12,46850,9.9,430,597,0,0.009178228388473852,0.012742796157950907
1427,³ªºÎÈ°,4È­ °ÅÁþ¸»,4,2021.02.19,43693,9.89,403,563,0,0.009223445403153823,0.012885359210857575
1428,³ªºÎÈ°,5È­ ½ÃÀÛ,5,2021.02.26,39519,9.85,409,533,0,0.010349452162251069,0.013487183380146258
1429,¿¢½ºÆ®¶ó Z¾¾,1È­ - Z¾¾ (1),1,2019.04.29,115822,9.87,1439,1379,0,0.012424237191552555,0.011906200894476006
1430,¿¢½ºÆ®¶ó Z¾¾,2È­ - Z¾¾ (2),2,2019.05.06,95286,9.89,1202,1226,0,0.012614654828621204,0.012866528136347418
1431,¿¢½ºÆ®¶ó Z¾¾,3È­ - Ã»¾Æ(1),3,2019.05.12,84074,9.9,1122,1129,0,0.013345386207388728,0.013428646192639818
1432,¿¢½ºÆ®¶ó Z¾¾,4È­ - Ã»¾Æ (2),4,2019.05.19,79986,9.92,1120,1076,0,0.014002450428825045,0.013452354161978345
1433,¿¢½ºÆ®¶ó Z¾¾,Z¾¾´Â Á¤¸» ¸ô¶ú´Ù.,5,2019.05.21,73607,9.93,1108,1026,0,0.015052916162864945,0.013938891681497683
1434,¹Ý,1,1,2019.01.07,66381,9.9,402,224,0,0.006055949744655851,0.00337445955921122
1435,¹Ý,2,2,2019.01.17,46300,9.8,270,170,0,0.005831533477321814,0.00367170626349892
1436,¹Ý,3,3,2019.01.27,38885,9.87,207,140,0,0.0053233894818053235,0.0036003600360036
1437,¹Ý,4,4,2019.02.07,33021,9.85,180,123,0,0.005451076587626056,0.003724902334877805
1438,¹Ý,5,5,2019.02.17,28447,9.85,151,115,0,0.0053081168488768584,0.004042605547157872
1439,¼º°ËÀÇ È¦¸®¼Òµå,.,1,2015.10.03,30192,9.86,404,86,0,0.01338102808691044,0.0028484366719660837
1440,º°¶Ëº°ÀÌ ¶³¾îÁ³´Ù,1,1,2014.03.15,60650,9.81,834,281,0,0.013751030502885408,0.004633140972794724
1441,º°¶Ëº°ÀÌ ¶³¾îÁ³´Ù,2,2,2014.03.24,40266,9.84,817,263,0,0.020290071027666022,0.006531565092137287
1442,º°¶Ëº°ÀÌ ¶³¾îÁ³´Ù,3,3,2014.04.02,35787,9.84,819,257,0,0.02288540531477911,0.007181378712940454
1443,º°¶Ëº°ÀÌ ¶³¾îÁ³´Ù,4,4,2014.04.11,33041,9.85,781,253,0,0.023637299113222966,0.007657153233860961
1444,º°¶Ëº°ÀÌ ¶³¾îÁ³´Ù,5,5,2014.04.20,31662,9.83,779,246,0,0.024603625797485946,0.007769566041311351
1445,Á×´Â³¯±îÁö,01 - ¼±ÅÃ,1,2017.04.21,133126,9.87,493,127,0,0.0037032585670717967,0.0009539834442558178
1446,Á×´Â³¯±îÁö,02 - °è¾à,2,2017.05.05,86494,9.91,364,79,0,0.004208384396605545,0.0009133581520105441
1447,Á×´Â³¯±îÁö,03 - ½ÃÀÛ,3,2017.05.19,79453,9.93,348,73,0,0.0043799478937233335,0.0009187821731086302
1448,Á×´Â³¯±îÁö,04 - ¸ô¶ô(»ó),4,2017.06.02,71827,9.89,323,65,0,0.004496916201428432,0.0009049521767580436
1449,Á×´Â³¯±îÁö,05 - ¸ô¶ô(ÇÏ),5,2017.06.16,67915,9.89,304,65,0,0.004476183464624898,0.0009570787013178238
1450,¿ÀÁîÀÇ ¹Ùº¸µé,ÇÁ·Ñ·Î±×,1,2014.06.28,35340,9.73,761,385,0,0.021533672891907187,0.01089417091114884
1451,¿ÀÁîÀÇ ¹Ùº¸µé,1,2,2014.06.28,33737,9.78,769,390,0,0.022793965082846725,0.011560008299493139
1452,¿ÀÁîÀÇ ¹Ùº¸µé,2,3,2014.06.28,33052,9.82,849,430,0,0.02568679656299165,0.013009802735084109
1453,¿ÀÁîÀÇ ¹Ùº¸µé,3,4,2014.06.28,30580,9.85,886,387,0,0.028973185088293003,0.012655330281229562
1454,¿ÀÁîÀÇ ¹Ùº¸µé,4,5,2014.06.28,30147,9.85,857,377,0,0.028427372541214715,0.01250539025442001
1455,´«²É,1. ÇÔ²²,1,2016.07.04,61080,9.77,573,409,0,0.0093811394891945,0.006696136214800262
1456,´«²É,2. ¾ÆÄ§,2,2016.07.11,48466,9.83,498,361,0,0.010275244501299881,0.007448520612388066
1457,´«²É,3. ´©±¸³Ä ³Í,3,2016.07.18,46290,9.81,399,321,0,0.008619572261827609,0.006934543097861309
1458,´«²É,4. ¾î¶»°Ôµç »ì¾Æ°¡³×,4,2016.07.25,43170,9.81,396,289,0,0.009173036831132731,0.006694463747973129
1459,´«²É,5. ³»¸®´Â±â¾ï,5,2016.08.01,39751,9.83,394,284,0,0.009911700334582777,0.0071444743528464695
1460,²¿¸Å,²¿¸Å °øÁö»çÇ×,1,2014.12.29,54089,9.82,744,403,0,0.013755107323115606,0.007450683133354286
1461,²¿¸Å,ÆÐ¼Ç°íÀÚ,2,2014.12.30,45770,9.86,827,446,0,0.018068603889010267,0.009744374044133712
1462,²¿¸Å,¾È³ç 2014,3,2014.12.31,38006,9.9,773,385,0,0.02033889385886439,0.010129979476924697
1463,²¿¸Å,»õÇØ¿¡´Â,4,2015.01.02,33254,9.86,710,358,0,0.021350814939556144,0.010765622180790281
1464,²¿¸Å,²À²À ¼û¾î¶ó,5,2015.01.05,28998,9.84,697,384,0,0.02403614042347748,0.01324229257190151
1465,È¯»óÀÇ ¾ÆÀÌµé,prologue,1,2019.09.04,91363,9.87,1086,1101,0,0.011886649956765869,0.012050830204787496
1466,È¯»óÀÇ ¾ÆÀÌµé,1È­ ÀÏ»óÀÇ ¾ÆÀÌ·¯´Ï(1),2,2019.09.11,68511,9.8,696,754,0,0.010158952576958445,0.011005531958371648
1467,È¯»óÀÇ ¾ÆÀÌµé,2È­ ÀÏ»óÀÇ ¾ÆÀÌ·¯´Ï(2),3,2019.09.18,44430,9.8,591,583,0,0.013301823092505063,0.013121764573486383
1468,È¯»óÀÇ ¾ÆÀÌµé,3È­ ÀÏ»óÀÇ ¾ÆÀÌ·¯´Ï(3),4,2019.09.25,38875,9.81,555,525,0,0.01427652733118971,0.013504823151125401
1469,È¯»óÀÇ ¾ÆÀÌµé,4È­ µµµÏ°ú ¾Ç¸¶,5,2019.10.02,32920,9.94,476,500,0,0.014459295261239367,0.015188335358444714
1470,¾Ö´Ï¸Ö ´ÙÀÌ¾î¸®,Page 1. ´ÙÀÌ¾î¸®ÀÇ ½ÃÀÛÀº ´Ù»ç´Ù³­ÇÏ°Ô,1,2016.11.03,40889,9.56,317,125,0,0.007752696324194772,0.00305705691017144
1471,¾Ö´Ï¸Ö ´ÙÀÌ¾î¸®,Page 2. ¾´Áö ¾ó¸¶ ¾È µÈ ÀÏ±â´Â µéÃçº¸Áö ¾Ê´Â °Ô ÁÁ´Ù,2,2016.11.10,31448,9.63,269,99,0,0.008553803103535996,0.003148053930297634
1472,¾Ö´Ï¸Ö ´ÙÀÌ¾î¸®,Page 3. ÇØ°áÇÏÁö ¸øÇÑ ÀÏÀ» ±â·ÏÇÏ´Â °Ç »ç½Ç Á» ±«·Ó´Ù.,3,2017.02.04,29740,9.75,252,94,0,0.00847343644922663,0.003160726294552791
1473,¾Ö´Ï¸Ö ´ÙÀÌ¾î¸®,Page 4. ±×·¸´Ù¸é ¹Ì·ïµÎ´Â °Íµµ ¹æ¹ý,4,2017.02.13,32960,9.57,338,109,0,0.010254854368932038,0.0033070388349514565
1474,¾Ö´Ï¸Ö ´ÙÀÌ¾î¸®,Page 5. Á¤¸®°¡ ¾È µÈ´Ù¸é Ã¼Å©¸®½ºÆ®¸¦ ¸¸µé¾îº¸ÀÚ,5,2017.02.20,34432,9.89,237,105,0,0.006883131970260223,0.003049488847583643
1475,GO! ½Å³ª°í,´ÜÇàº» ÃâÆÇ È®Á¤ °øÁö,1,2016.04.27,29905,8.88,69,41,0,0.0023073064704898848,0.0013710081926099314
1476,°­È£¿­Àü,»ì¼öÆí 1È­,1,2018.05.02,72686,9.8,235,94,0,0.0032330847756101588,0.0012932339102440635
1477,°­È£¿­Àü,»ì¼öÆí 2È­,2,2018.05.09,54670,9.85,220,74,0,0.004024144869215292,0.0013535760014633253
1478,°­È£¿­Àü,»ì¼öÆí 3È­,3,2018.05.16,48638,9.82,200,71,0,0.004112011184670423,0.0014597639705579998
1479,°­È£¿­Àü,»ì¼öÆí 4È­,4,2018.05.23,44588,9.87,200,70,0,0.004485511796896026,0.001569929128913609
1480,°­È£¿­Àü,»ì¼öÆí 5È­,5,2018.05.30,42749,9.72,167,63,0,0.003906524129219397,0.001473718683477976
1481,¿ìÁÖ±¤ºÎ,0. ÇÁ·Ñ·Î±× .Á×À½,1,2018.01.02,55732,9.57,223,69,0,0.004001291896935333,0.001238067896361157
1482,¿ìÁÖ±¤ºÎ,1. ¿ìÁÖ¿Í °î±ªÀÌÀÇ ¿¬°ü¼º,2,2018.01.07,47136,9.54,211,65,0,0.004476408689748812,0.001378988458927359
1483,¿ìÁÖ±¤ºÎ,2. »ç¶óÁø ¾È³»ÀÚ,3,2018.01.14,37854,9.59,186,62,0,0.004913615469963544,0.0016378718233211814
1484,¿ìÁÖ±¤ºÎ,3. ·ë¸ÞÀÌÆ®,4,2018.01.21,34982,9.61,188,59,0,0.005374192441827226,0.0016865816705734379
1485,¿ìÁÖ±¤ºÎ,4. »ì¾Æ ÀÖÀ» ¶§?,5,2018.01.28,32382,9.62,209,55,0,0.006454202952257427,0.0016984744611203756
1486,³Ê¿¡°Ô ¸»ÇÏÁö ¸øÇÑ ¾ê±â,ÇÁ·Ñ·Î±×,1,2014.11.15,61144,9.88,583,300,0,0.009534868507130707,0.0049064503467224916
1487,³Ê¿¡°Ô ¸»ÇÏÁö ¸øÇÑ ¾ê±â,Chapter1. µþ±â 000,2,2014.11.22,59229,9.86,663,292,0,0.011193840854986578,0.004930017390129835
1488,³Ê¿¡°Ô ¸»ÇÏÁö ¸øÇÑ ¾ê±â,Chapter1. µþ±â 001,3,2014.11.30,45512,9.89,476,210,0,0.010458780101951134,0.004614167692037265
1489,³Ê¿¡°Ô ¸»ÇÏÁö ¸øÇÑ ¾ê±â,Chapter1. µþ±â 002,4,2014.12.12,40735,9.83,409,207,0,0.010040505707622438,0.00508162513808764
1490,³Ê¿¡°Ô ¸»ÇÏÁö ¸øÇÑ ¾ê±â,Chapter1. µþ±â 003,5,2015.06.03,35855,9.82,407,190,0,0.011351275972667689,0.005299121461441919
