Unnamed: 0,제목,장르,일상,개그,판타지,액션,드라마,순정,감성,스릴러,시대극,스포츠,좋아요,별점,정식연재
1743,무한의 팔라무트,판타지,0,0,1,1,0,0,0,0,0,0,"2,563",9.8,0
1744,찬란하게 드리우다,판타지,0,0,1,0,1,0,0,0,0,0,"2,866",9.87,0
1745,루턴 -past story-,판타지,0,0,1,0,1,0,0,0,0,0,"2,611",9.84,0
1747,"안녕, 앨리스",판타지,0,0,1,0,0,1,0,0,0,0,"11,037",9.83,0
1749,수호령,판타지,0,0,1,1,0,0,0,0,0,0,"1,325",9.88,0
1750,퇴마부,판타지,0,0,1,0,0,0,0,1,0,0,"1,521",9.82,0
1751,흑묘,판타지,0,0,1,0,0,0,0,1,0,0,"4,920",9.72,0
1753,어나더,판타지,0,0,1,0,0,1,0,0,0,0,"1,290",9.86,0
1754,빨간 고백,판타지,0,0,1,0,0,0,0,1,0,0,"6,826",9.74,0
1755,자각몽,판타지,0,0,1,0,1,0,0,0,0,0,"3,411",9.89,0
1756,상현당,판타지,0,0,1,0,0,0,0,0,1,0,"2,891",9.63,0
1757,내 룸메이트는 마네킹,판타지,0,0,1,0,0,1,0,0,0,0,"5,100",9.8,1
1758,머리카락을 뽑으면,판타지,0,0,1,0,0,0,0,1,0,0,700,9.81,1
1759,마음과 마법의 반비례,판타지,0,0,1,0,0,0,1,0,0,0,"2,642",9.88,0
1760,바리이야기,판타지,0,0,1,0,0,0,0,0,1,0,"2,836",9.88,0
1762,잃어버린 시간을 드립니다,판타지,0,0,1,0,1,0,0,0,0,0,"1,994",9.86,0
1763,킬링타임,판타지,0,0,1,0,0,0,0,1,0,0,749,9.83,1
1764,식인귀,판타지,0,0,1,0,0,0,0,1,0,0,"1,918",9.63,0
1765,미즈라 태양의 성,판타지,0,0,1,0,0,0,0,0,0,0,"3,489",9.89,0
1766,애플 에이지,판타지,0,0,1,0,1,0,0,0,0,0,"3,152",9.87,0
1767,달을 그리는 숲,판타지,0,0,1,0,0,0,0,0,1,0,815,9.75,0
1768,듀이,판타지,0,0,1,0,0,0,0,0,0,0,"1,080",9.85,0
1769,달란트,판타지,0,0,1,1,0,0,0,0,0,0,"2,112",9.88,0
1770,드라코런 :: Dracorun,판타지,0,0,1,0,0,0,0,0,0,0,975,9.8,0
1771,신의 마녀,판타지,0,0,1,0,0,1,0,0,0,0,"7,183",9.87,0
1772,코르보(Corvo),판타지,0,0,1,1,0,0,0,0,0,0,742,9.86,0
1773,남주만 9명?!,판타지,0,0,1,0,0,1,0,0,0,0,"2,050",9.67,0
1774,네가 머무는 자리,판타지,0,0,1,0,0,0,1,0,0,0,"1,799",9.83,0
1775,스페로 스페라,판타지,0,0,1,0,1,0,0,0,0,0,"5,336",9.88,0
1776,두번째의 왕자님,판타지,0,0,1,0,0,1,0,0,0,0,"4,150",9.88,0
1778,사신기,판타지,0,0,1,1,0,0,0,0,0,0,832,9.8,0
1780,마계의 황녀,판타지,0,0,1,0,0,0,0,0,0,0,"7,260",9.87,0
1781,우리들의 트로이메라이,판타지,0,0,1,0,0,1,0,0,0,0,"2,672",9.88,0
1782,지켜라!여의주!,판타지,0,0,1,0,0,1,0,0,0,0,"3,682",9.71,0
1783,아이엠 헝그리,판타지,0,0,1,1,0,0,0,0,0,0,"1,578",9.79,0
1784,천상열차분야지도,판타지,0,0,1,0,0,0,0,0,0,0,"2,882",9.87,0
1785,마녀 어머니와 좀비 아들,판타지,0,0,1,0,0,0,1,0,0,0,950,9.85,0
1787,겨울밤,판타지,0,0,1,0,1,0,0,0,0,0,"5,361",9.85,0
1788,STONE AGE,판타지,0,0,1,0,0,0,0,1,0,0,"4,858",9.89,0
1789,수상한 가족협정,판타지,0,0,1,0,1,0,0,0,0,0,"1,734",9.89,0
1790,티레시아스,판타지,0,0,1,0,0,1,0,0,0,0,"4,128",9.85,0
1792,달맞이꽃,판타지,0,0,1,0,0,1,0,0,0,0,"3,712",9.82,0
1793,모브,판타지,0,0,1,0,1,0,0,0,0,0,"6,253",9.86,0
1794,용사님이시다,판타지,0,0,1,1,0,0,0,0,0,0,"3,732",9.85,0
1795,뱀파이어 수난시대,판타지,0,0,1,0,0,1,0,0,0,0,492,9.76,0
1797,큐레이터,판타지,0,0,1,1,0,0,0,0,0,0,"2,070",9.72,0
1798,크리비 (Crea.B),판타지,0,0,1,1,0,0,0,0,0,0,"3,904",9.77,0
1799,왕과 그림자와 여자,판타지,0,0,1,0,0,1,0,0,0,0,"2,262",9.76,0
1801,중간계 사우나,판타지,0,0,1,0,0,1,0,0,0,0,"8,062",9.82,0
1802,열렙전사,판타지,0,0,1,1,0,0,0,0,0,0,379,9.71,1
1803,용사의 딸,판타지,0,0,1,0,0,1,0,0,0,0,"1,547",9.78,0
1804,정글짐 위에 올라,판타지,0,0,1,0,1,0,0,0,0,0,"2,820",9.89,0
1805,금빛아이는 새벽을 달린다,판타지,0,0,1,1,0,0,0,0,0,0,"6,583",9.89,1
1806,플레이어,판타지,0,0,1,0,0,0,0,0,0,0,424,9.56,0
1807,허니버니,판타지,0,0,1,0,0,1,0,0,0,0,435,9.86,1
1808,신과의 대화,판타지,0,0,1,0,1,0,0,0,0,0,"5,174",9.77,0
1809,나라 구한 전생,판타지,0,0,1,0,0,0,0,0,0,0,"3,638",9.89,0
1810,어린공주,판타지,0,0,1,0,0,0,1,0,0,0,"1,112",9.89,0
1811,마녀는 그렇게 죽었다,판타지,0,0,1,0,0,0,1,0,0,0,"1,153",9.84,0
1812,그의 박물관엔 수상한 미라가 있다.,판타지,0,0,1,0,0,1,0,0,0,0,873,9.89,0
1813,유만즈,판타지,0,0,1,1,0,0,0,0,0,0,828,9.85,0
1814,슬립워커,판타지,0,0,1,0,0,0,0,0,0,0,573,9.84,0
1815,렝드,판타지,0,0,1,0,1,0,0,0,0,0,885,9.85,0
1817,드리머,판타지,0,0,1,1,0,0,0,0,0,0,374,9.41,0
1818,아수라게이트,판타지,0,0,1,1,0,0,0,0,0,0,"2,714",9.47,0
1819,신의 프시키온,판타지,0,0,1,1,0,0,0,0,0,0,"1,088",9.84,0
1820,나루아씨전,판타지,0,0,1,0,0,0,0,0,0,0,"1,178",9.86,0
1821,오늘과 내일의 경계,판타지,0,0,1,1,0,0,0,0,0,0,"1,963",9.89,0
1822,마왕이 되는 방법,판타지,0,0,1,0,0,1,0,0,0,0,"2,813",9.83,0
1823,데몬데몬,판타지,0,0,1,0,0,0,0,0,0,0,"2,324",9.85,0
1824,신의 계약서,판타지,0,0,1,0,1,0,0,0,0,0,"2,147",9.63,0
1825,페이퍼,판타지,0,0,1,1,0,0,0,0,0,0,435,9.8,0
1826,인더섀도우,판타지,0,0,1,1,0,0,0,0,0,0,"2,494",9.89,0
1827,달과 바다와 관찰자,판타지,0,0,1,0,0,0,1,0,0,0,"2,550",9.87,0
1829,내 안에 깃든 너,판타지,0,0,1,0,0,1,0,0,0,0,624,9.88,0
1831,블루랜드,판타지,0,0,1,0,0,0,0,1,0,0,"2,551",9.9,0
1833,파도를 삼킨 어항,판타지,0,0,1,0,0,1,0,0,0,0,"2,233",9.75,0
1834,가위바위보,판타지,0,0,1,0,0,0,0,1,0,0,"1,474",9.59,0
1836,컬러풀,판타지,0,0,1,0,1,0,0,0,0,0,800,9.83,0
1837,Hello Death! [헬로데스],판타지,0,0,1,0,1,0,0,0,0,0,939,9.84,0
1838,월혼,판타지,0,0,1,0,0,0,0,0,1,0,"6,412",9.74,0
1839,인연입니까?,판타지,0,0,1,0,0,1,0,0,0,0,"1,139",9.7,0
1840,신이 없는 세계,판타지,0,0,1,0,0,0,0,0,0,0,"1,060",9.88,0
1841,어글리 피플즈,판타지,0,0,1,0,1,0,0,0,0,0,"1,018",8.7,1
1842,문카니발,판타지,0,0,1,0,0,1,0,0,0,0,310,9.57,0
1843,판데모니움,판타지,0,0,1,1,0,0,0,0,0,0,196,9.59,0
1844,Free Or UNfree,판타지,0,0,1,0,1,0,0,0,0,0,751,9.8,0
1845,후르츠렌즈!,판타지,0,0,1,0,0,1,0,0,0,0,"3,036",9.79,0
1846,우주의 수호천사,판타지,0,0,1,0,0,1,0,0,0,0,"1,153",9.87,0
1847,플라워,판타지,0,0,1,0,0,1,0,0,0,0,851,9.67,0
1848,먼지소녀,판타지,0,0,1,0,0,1,0,0,0,0,452,8.81,0
1850,밤을 거둔 신기루는,판타지,0,0,1,0,0,1,0,0,0,0,"2,379",9.87,0
1851,미스터 신데렐라,판타지,0,0,1,0,1,0,0,0,0,0,"2,065",9.78,0
1852,미용사,판타지,0,0,1,0,1,0,0,0,0,0,911,9.79,0
1854,저승사자 이야기,판타지,0,0,1,0,0,0,0,0,1,0,"3,477",9.85,0
1855,악마의 레시피,판타지,0,0,1,0,1,0,0,0,0,0,"1,485",9.76,0
1856,신의 태궁,판타지,0,0,1,0,1,0,0,0,0,0,"1,110",9.88,0
1857,하늘하늘하늘!,판타지,0,0,1,0,0,1,0,0,0,0,"2,180",9.76,0
1858,내 신랑은 구미호,판타지,0,0,1,0,0,0,1,0,0,0,"1,446",9.47,0
1860,악마의 육아일기,판타지,0,0,1,0,0,0,1,0,0,0,"3,430",9.83,0
1861,신들을 부탁해!,판타지,0,0,1,0,1,0,0,0,0,0,152,9.8,0
1862,유진의 환상특급열차,판타지,0,0,1,0,0,0,0,1,0,0,"2,386",9.9,0
1863,페카텀,판타지,0,0,1,0,0,0,0,0,0,0,"2,267",9.77,0
1864,이데아 프로젝트,판타지,0,0,1,0,1,0,0,0,0,0,"3,308",9.83,0
1865,드래곤 카이트,판타지,0,0,1,0,0,0,0,0,0,0,"1,842",9.59,0
1867,신화의 나라,판타지,0,0,1,0,0,0,0,0,0,0,"1,348",9.78,0
1868,벽(로그아웃),판타지,0,0,1,0,0,0,0,1,0,0,"1,342",9.82,1
1869,저는 용사님이 아닌데요!,판타지,0,0,1,0,0,1,0,0,0,0,"2,084",9.69,0
1871,인생사진,판타지,0,0,1,0,1,0,0,0,0,0,"1,646",9.69,0
1872,뱀프 브라더스,판타지,0,0,1,0,1,0,0,0,0,0,"1,441",9.88,0
1873,반,판타지,0,0,1,1,0,0,0,0,0,0,928,9.83,0
1874,엑스트라 Z씨,판타지,0,0,1,0,1,0,0,0,0,0,"5,039",9.9,0
1875,나부활,판타지,0,0,1,0,0,0,0,1,0,0,"2,991",9.84,0
1877,죽는날까지,판타지,0,0,1,0,1,0,0,0,0,0,745,9.89,0
1878,눈꽃,판타지,0,0,1,0,1,0,0,0,0,0,"1,481",9.84,0
1880,환상의 아이들,판타지,0,0,1,0,1,0,0,0,0,0,"4,252",9.89,0
1881,마법사와 꼬마,판타지,0,0,1,0,0,0,0,0,0,0,839,9.84,0
1882,완벽한 이별,판타지,0,0,1,0,0,1,0,0,0,0,"1,590",9.8,0
1883,단역: 아무개,판타지,0,0,1,0,0,0,0,0,0,0,641,9.83,0
1884,도원향,판타지,0,0,1,0,0,0,0,0,0,0,"6,838",9.89,0
1885,블랙 헤이즈,판타지,0,0,1,0,0,0,0,0,0,0,"24,160",9.87,0
1886,해프닝,판타지,0,0,1,0,0,0,0,1,0,0,"6,329",9.85,0
1887,이상낙원,판타지,0,0,1,0,0,1,0,0,0,0,"2,159",9.88,0
1890,저승탈출 넘버원,판타지,0,0,1,0,0,0,1,0,0,0,173,9.23,0
1891,그와 그녀와 그,판타지,0,0,1,0,0,1,0,0,0,0,"4,248",9.86,0
1892,쓰지만 달콤해,판타지,0,0,1,0,0,1,0,0,0,0,"2,119",9.16,0
1893,브레인 스톰,판타지,0,0,1,0,0,0,0,1,0,0,"4,066",9.87,0
1894,지금만큼은,판타지,0,0,1,0,0,1,0,0,0,0,"1,260",9.89,0
1895,무의식의 숲,판타지,0,0,1,0,1,0,0,0,0,0,"4,031",9.9,0
1896,더미,판타지,0,0,1,0,1,0,0,0,0,0,528,9.84,0
1897,아베 마리아,판타지,0,0,1,0,0,1,0,0,0,0,"2,311",9.87,0
1898,우린 NPC다,판타지,0,0,1,1,0,0,0,0,0,0,901,9.69,0
1899,최강의 악마,판타지,0,0,1,0,1,0,0,0,0,0,374,9.89,0
1900,운명...인가요?,판타지,0,0,1,0,1,0,0,0,0,0,"7,302",9.89,0
1901,체크메이트 더 게임,판타지,0,0,1,0,1,0,0,0,0,0,"1,076",9.43,0
1902,초인의시대,판타지,0,0,1,1,0,0,0,0,0,0,531,9.52,1
1903,신,판타지,0,0,1,1,0,0,0,0,0,0,531,9.69,0
1904,이왕이면 아이돌,판타지,0,0,1,0,1,0,0,0,0,0,"2,021",9.71,0
1905,넘버그레이,판타지,0,0,1,0,1,0,0,0,0,0,769,9.87,0
1907,나비 이야기,판타지,0,0,1,0,0,0,1,0,0,0,917,9.9,0
1908,애쉬그레이,판타지,0,0,1,0,0,0,0,0,0,0,"3,265",9.89,0
1909,악마의 성불사무소,판타지,0,0,1,0,1,0,0,0,0,0,325,9.89,0
1910,아라비안 스위트,판타지,0,0,1,0,0,1,0,0,0,0,"1,266",9.79,0
1911,한국인이다,판타지,0,0,1,0,0,0,0,0,0,0,"1,202",9.8,0
1912,HOL(전설의 역사),판타지,0,0,1,1,0,0,0,0,0,0,"1,895",9.4,0
1914,너를 잃는 숲,판타지,0,0,1,0,1,0,0,0,0,0,875,9.81,0
1915,좀비인간,판타지,0,0,1,0,0,0,0,1,0,0,301,9.6,0
1916,평범한 이계의 여고생,판타지,0,0,1,0,0,0,0,0,0,0,"1,706",9.86,0
1917,견우화,판타지,0,0,1,1,0,0,0,0,0,0,"3,356",9.87,0
1918,1+1=3,판타지,0,0,1,0,0,0,0,1,0,0,"2,489",9.87,0
1919,나의 수상한 행성,판타지,0,0,1,0,0,1,0,0,0,0,"7,309",9.84,0
1920,하늘의 가녘,판타지,0,0,1,1,0,0,0,0,0,0,244,9.89,0
1921,주작작 주주작,판타지,0,0,1,1,0,0,0,0,0,0,"2,755",9.67,0
1922,멍멍이랑,판타지,0,0,1,0,0,0,0,0,0,0,"2,645",9.89,0
1924,사신과 소녀,판타지,0,0,1,0,0,1,0,0,0,0,"2,025",9.86,0
1925,할로윈이 끝나기 전에,판타지,0,0,1,0,1,0,0,0,0,0,"3,794",9.89,0
1927,우주광부,판타지,0,0,1,0,1,0,0,0,0,0,157,9.7,0
1928,너에게 말하지 못한 얘기,판타지,0,0,1,0,1,0,0,0,0,0,"1,372",9.84,0
1929,게이트,판타지,0,0,1,1,0,0,0,0,0,0,756,9.76,0
1930,사인검,판타지,0,0,1,1,0,0,0,0,0,0,"1,253",9.78,0
1932,이시미이야기,판타지,0,0,1,0,0,1,0,0,0,0,"1,678",9.58,0
1933,네크로골비,판타지,0,0,1,1,0,0,0,0,0,0,"2,650",9.85,0
1934,마당개의 인생,판타지,0,0,1,0,1,0,0,0,0,0,739,9.73,0
1935,로베스의 완전감각,판타지,0,0,1,1,0,0,0,0,0,0,"1,185",9.88,1
1936,은하!,판타지,0,0,1,1,0,0,0,0,0,0,"4,594",9.88,0
1937,볼트(VOLT),판타지,0,0,1,1,0,0,0,0,0,0,"1,482",9.74,0
1938,재건! 마왕성,판타지,0,0,1,1,0,0,0,0,0,0,"1,250",9.87,0
1941,안즈,판타지,0,0,1,0,1,0,0,0,0,0,548,9.8,0
1942,페이트,판타지,0,0,1,0,1,0,0,0,0,0,395,9.72,0
1943,황금 장미,판타지,0,0,1,0,0,1,0,0,0,0,"1,747",9.84,0
1944,시간선 完,판타지,0,0,1,0,1,0,0,0,0,0,"2,806",9.8,0
1945,호가비,판타지,0,0,1,0,0,0,0,0,1,0,322,9.85,0
1946,반연(絆緣),판타지,0,0,1,0,0,1,0,0,0,0,"1,776",9.9,0
1947,바사무엘,판타지,0,0,1,0,1,0,0,0,0,0,"1,211",9.87,0
1948,흐르는 바닷불처럼,판타지,0,0,1,1,0,0,0,0,0,0,"2,980",9.78,1
1950,AIR,판타지,0,0,1,0,0,0,0,1,0,0,307,9.89,0
1952,동물화실,판타지,0,0,1,0,0,0,1,0,0,0,"1,783",9.9,0
1954,뱀블러프,판타지,0,0,1,1,0,0,0,0,0,0,319,9.76,0
1955,포르고드(FORGOD),판타지,0,0,1,1,0,0,0,0,0,0,656,9.86,0
1956,환상동화 모음집,판타지,0,0,1,0,0,1,0,0,0,0,453,9.65,0
1957,불꽃에 휘날리다,판타지,0,0,1,0,1,0,0,0,0,0,"1,936",9.85,0
1958,시선스틸러,판타지,0,0,1,0,1,0,0,0,0,0,548,9.62,0
1960,산타,판타지,0,0,1,0,0,0,0,0,0,0,"2,237",9.74,0
1961,심연,판타지,0,0,1,1,0,0,0,0,0,0,"2,532",9.76,0
1962,등선(登仙),판타지,0,0,1,1,0,0,0,0,0,0,383,9.5,0
1963,하제,판타지,0,0,1,0,0,0,1,0,0,0,"1,203",9.87,0
1965,하나뿐인 안드로이드,판타지,0,0,1,0,0,1,0,0,0,0,"1,033",9.43,0
1967,모던픽션A: 삼국지 표류도시,판타지,0,0,1,0,1,0,0,0,0,0,"1,083",9.82,0
1968,新조선왕조실록,판타지,0,0,1,0,1,0,0,0,0,0,"2,491",9.83,0
1969,월야에 우는 새,판타지,0,0,1,0,0,0,0,0,1,0,355,9.81,0
1970,이매망향 ?魅望香,판타지,0,0,1,0,1,0,0,0,0,0,"2,332",9.75,0
1971,몽상가 죽이기,판타지,0,0,1,0,1,0,0,0,0,0,338,9.57,0
1972,절대신의 유희,판타지,0,0,1,1,0,0,0,0,0,0,"7,222",9.85,0
1973,잠자던 숲속의 공주,판타지,0,0,1,0,1,0,0,0,0,0,"2,210",9.66,0
1974,다르디움,판타지,0,0,1,0,1,0,0,0,0,0,697,9.87,0
1977,엘카림이 들어줄게!,판타지,0,0,1,1,0,0,0,0,0,0,"2,373",9.78,0
1978,마도,판타지,0,0,1,1,0,0,0,0,0,0,326,9.74,0
1981,코인,판타지,0,0,1,0,0,0,0,0,0,0,"2,339",9.79,0
1982,오늘은 영웅,판타지,0,0,1,0,0,1,0,0,0,0,595,9.78,0
1983,번혼,판타지,0,0,1,1,0,0,0,0,0,0,848,9.11,0
1984,포로롱 포롱,판타지,0,0,1,0,0,1,0,0,0,0,"1,541",9.85,0
1985,꿈무덤,판타지,0,0,1,0,0,0,0,1,0,0,966,9.82,0
1986,왕의정원,판타지,0,0,1,0,0,0,0,0,0,0,497,9.74,0
1987,야생화,판타지,0,0,1,1,0,0,0,0,0,0,141,9.84,0
1988,사이어미즈,판타지,0,0,1,1,0,0,0,0,0,0,427,9.75,0
1989,그라티아,판타지,0,0,1,1,0,0,0,0,0,0,245,9.55,0
1991,도화,판타지,0,0,1,1,0,0,0,0,0,0,"1,450",9.85,1
1992,리바이벌(Revival),판타지,0,0,1,0,1,0,0,0,0,0,"3,184",9.77,0
1993,고양이 마법학교,판타지,0,0,1,0,0,0,0,0,0,0,"1,853",9.8,0
1994,기억들,판타지,0,0,1,0,1,0,0,0,0,0,871,9.89,0
1995,용애어부가,판타지,0,0,1,0,0,1,0,0,0,0,"1,779",9.9,0
1996,다이아몬드 갓 수,판타지,0,0,1,1,0,0,0,0,0,0,472,9.58,0
1997,엑소니클,판타지,0,0,1,1,0,0,0,0,0,0,"1,296",9.67,0
1998,야귀록,판타지,0,0,1,1,0,0,0,0,0,0,"1,342",9.75,0
1999,바이러스 X,판타지,0,0,1,1,0,0,0,0,0,0,878,9.49,1
2000,틈새의주인,판타지,0,0,1,1,0,0,0,0,0,0,608,9.84,0
2001,선택게임,판타지,0,0,1,0,0,0,0,1,0,0,"2,584",9.87,0
2002,히어로전우치,판타지,0,0,1,1,0,0,0,0,0,0,115,9.62,0
2003,데빌런,판타지,0,0,1,0,0,0,0,0,0,0,501,9.75,0
2004,오마이갓,판타지,0,0,1,0,0,1,0,0,0,0,"2,705",9.58,0
2005,루크벨라의 우아한인생,판타지,0,0,1,0,0,0,1,0,0,0,"2,188",9.87,0
2006,구세의 블레이딩,판타지,0,0,1,1,0,0,0,0,0,0,359,9.7,0
2007,사자(使者),판타지,0,0,1,0,0,1,0,0,0,0,"2,157",9.86,0
2008,엘프하프,판타지,0,0,1,1,0,0,0,0,0,0,"1,690",9.85,0
2009,은룡여린설,판타지,0,0,1,0,0,0,0,0,1,0,"1,978",9.88,0
2010,소금물 방,판타지,0,0,1,0,1,0,0,0,0,0,"1,595",9.86,0
2011,소녀와 동박새,판타지,0,0,1,0,0,1,0,0,0,0,217,9.85,0
2012,슈퍼캣,판타지,0,0,1,1,0,0,0,0,0,0,181,9.59,0
2013,야옹방범대,판타지,0,0,1,0,1,0,0,0,0,0,"2,255",9.89,0
2014,리베르,판타지,0,0,1,1,0,0,0,0,0,0,552,9.32,0
2017,파도의 색깔,판타지,0,0,1,0,0,1,0,0,0,0,403,9.88,0
2019,감각의 어빌러티,판타지,0,0,1,1,0,0,0,0,0,0,"5,347",9.87,0
2020,수상한 전학생,판타지,0,0,1,0,0,1,0,0,0,0,"3,013",9.85,0
2021,연애노트,판타지,0,0,1,0,0,1,0,0,0,0,838,8.83,0
2022,여우비 전설,판타지,0,0,1,0,0,1,0,0,0,0,982,8.92,0
2023,신기관리팀 처용대,판타지,0,0,1,1,0,0,0,0,0,0,288,9.67,0
2025,나 좀 내버려둬!,판타지,0,0,1,0,0,1,0,0,0,0,789,9.68,0
2026,주근깨 가쵸,판타지,0,0,1,0,0,0,0,0,1,0,136,9.66,0
2028,세피아,판타지,0,0,1,1,0,0,0,0,0,0,777,9.85,0
2029,도도도,판타지,0,0,1,1,0,0,0,0,0,0,515,9.8,0
2031,리얼 김영감 게임,판타지,0,0,1,1,0,0,0,0,0,0,762,9.7,0
2033,검은 늑대,판타지,0,0,1,0,1,0,0,0,0,0,"1,980",9.87,0
2034,문신,판타지,0,0,1,1,0,0,0,0,0,0,"1,571",8.62,0
2035,은조,판타지,0,0,1,1,0,0,0,0,0,0,322,9.06,0
2036,천사에게는 날개가 없다,판타지,0,0,1,0,0,1,0,0,0,0,"1,602",9.87,0
2037,너의 여집합,판타지,0,0,1,0,1,0,0,0,0,0,"2,154",9.86,0
2039,아르테,판타지,0,0,1,0,0,0,0,0,1,0,"1,120",9.87,0
2040,"뼈와 재, 불의 이야기",판타지,0,0,1,1,0,0,0,0,0,0,997,9.42,0
2041,페탈(쥬브나일스),판타지,0,0,1,0,0,0,1,0,0,0,828,9.85,0
2043,호랑각시,판타지,0,0,1,0,0,0,0,0,0,0,407,9.16,0
2044,산타라떼(Santa Latte),판타지,0,0,1,0,0,1,0,0,0,0,782,9.86,0
2046,좀비가 된 세상에서 마법사는,판타지,0,0,1,1,0,0,0,0,0,0,481,9.32,0
2047,라스가에!,판타지,0,0,1,0,0,1,0,0,0,0,"1,657",9.89,0
2048,비공식 공동체,판타지,0,0,1,1,0,0,0,0,0,0,260,8.76,0
2049,하임의 서재,판타지,0,0,1,0,0,0,0,0,0,0,"2,170",9.89,0
2050,용아,판타지,0,0,1,1,0,0,0,0,0,0,616,8.9,0
2051,도나도나도나,판타지,0,0,1,0,1,0,0,0,0,0,"3,943",9.88,0
2052,바스티아 대륙이야기 -마왕의 대륙-,판타지,0,0,1,0,1,0,0,0,0,0,513,9.4,0
2053,호랑이형님,판타지,0,0,1,0,0,0,0,0,1,0,"4,146",9.86,1
2054,PI(파이),판타지,0,0,1,0,0,0,0,0,0,0,951,9.75,0
2055,모던 던전 판타지아,판타지,0,0,1,1,0,0,0,0,0,0,735,9.83,0
2056,마고,판타지,0,0,1,0,0,0,0,1,0,0,507,9.88,0
2057,캐스팔루크,판타지,0,0,1,0,0,0,0,0,0,0,292,9.73,0
2058,네거티브 칸나,판타지,0,0,1,1,0,0,0,0,0,0,505,9.74,0
2059,선녀가온 나나,판타지,0,0,1,1,0,0,0,0,0,0,"5,092",9.84,0
2061,밤의 피조물,판타지,0,0,1,0,0,0,0,0,0,0,336,9.75,0
2062,최초의 다정,판타지,0,0,1,0,1,0,0,0,0,0,133,9.82,0
2063,이리(iri),판타지,0,0,1,0,0,0,0,0,1,0,"1,624",9.46,0
2064,백풍의 신령 가무,판타지,0,0,1,0,0,0,0,0,0,0,150,9.46,0
2065,괴물의 바다,판타지,0,0,1,0,1,0,0,0,0,0,"1,384",9.89,0
2066,윙,판타지,0,0,1,1,0,0,0,0,0,0,366,9.59,0
2067,이탈자,판타지,0,0,1,1,0,0,0,0,0,0,"1,316",9.84,0
2068,검은유성우,판타지,0,0,1,0,0,0,0,0,1,0,"1,589",9.83,0
2069,도시유사 현세전,판타지,0,0,1,1,0,0,0,0,0,0,174,9.24,0
2070,포도나무 소녀,판타지,0,0,1,0,0,0,0,0,0,0,893,9.77,0
2071,아이테르,판타지,0,0,1,0,0,0,0,0,0,0,354,9.86,0
2072,미용사 : LOST HERO,판타지,0,0,1,0,1,0,0,0,0,0,"1,030",9.72,0
2073,전기수,판타지,0,0,1,1,0,0,0,0,0,0,"1,027",9.86,0
2074,지옥의 주인,판타지,0,0,1,1,0,0,0,0,0,0,84,9.22,0
2075,기생하는 심장,판타지,0,0,1,0,0,1,0,0,0,0,262,9.86,0
2077,쏘 판타지,판타지,0,0,1,0,0,1,0,0,0,0,"1,300",9.87,0
2080,빗자루도깨비 태비,판타지,0,0,1,0,1,0,0,0,0,0,"1,081",9.86,0
2081,악마소녀,판타지,0,0,1,1,0,0,0,0,0,0,405,9.58,0
2083,헬58,판타지,0,0,1,1,0,0,0,0,0,0,"2,458",9.46,1
2084,화분,판타지,0,0,1,0,1,0,0,0,0,0,"2,254",9.9,0
2085,사갈(蛇蝎),판타지,0,0,1,1,0,0,0,0,0,0,213,9.84,0
2086,버그 트레인,판타지,0,0,1,1,0,0,0,0,0,0,"1,430",9.84,0
2087,크리그,판타지,0,0,1,1,0,0,0,0,0,0,409,9.82,0
2088,블래커,판타지,0,0,1,0,1,0,0,0,0,0,196,9.77,0
2089,비밀의 화분,판타지,0,0,1,0,0,1,0,0,0,0,"1,203",9.61,0
2090,인수니즘 코믹스,판타지,0,0,1,0,1,0,0,0,0,0,434,9.79,0
2091,크라이시스,판타지,0,0,1,1,0,0,0,0,0,0,296,9.78,0
2093,포갓레인저,판타지,0,0,1,1,0,0,0,0,0,0,"2,136",9.75,0
2094,젤리빈 하우스,판타지,0,0,1,0,0,0,0,0,0,0,"1,495",9.8,0
2095,트러블걸,판타지,0,0,1,1,0,0,0,0,0,0,296,9.7,0
2097,노바,판타지,0,0,1,0,0,1,0,0,0,0,"2,496",9.83,0
2098,애오라지,판타지,0,0,1,0,0,0,0,0,1,0,965,9.7,0
2099,히어로키-악의돼지삼형제 ReMake,판타지,0,0,1,1,0,0,0,0,0,0,420,9.59,0
2100,아비터,판타지,0,0,1,0,0,0,0,0,0,0,"1,132",9.78,0
2101,조선타임트래블,판타지,0,0,1,0,0,0,0,0,0,0,"1,083",9.84,0
2102,나비리본,판타지,0,0,1,0,1,0,0,0,0,0,621,9.77,0
2103,환상법사,판타지,0,0,1,0,0,1,0,0,0,0,510,9.46,0
2105,도깨비를 키우는 방법,판타지,0,0,1,0,1,0,0,0,0,0,863,9.83,0
2106,할로우 포인트,판타지,0,0,1,0,0,0,0,0,1,0,191,9.85,0
2107,종이를 주웠다,판타지,0,0,1,0,0,1,0,0,0,0,"1,292",9.65,0
2108,철의 낙원,판타지,0,0,1,1,0,0,0,0,0,0,414,9.05,0
2109,To.[M],판타지,0,0,1,0,0,0,0,0,0,0,438,9.81,0
2110,박수고딩,판타지,0,0,1,1,0,0,0,0,0,0,330,9.09,0
2112,망월선녀설화,판타지,0,0,1,0,0,1,0,0,0,0,"1,374",8.95,0
2113,태양,판타지,0,0,1,1,0,0,0,0,0,0,177,9.6,0
2114,EMPIRE(제국),판타지,0,0,1,0,1,0,0,0,0,0,"1,576",9.6,0
