Unnamed: 0,제목,장르,일상,개그,판타지,액션,드라마,순정,감성,스릴러,시대극,스포츠,좋아요,별점,정식연재
96,아옹아옹,일상,1,0,0,0,0,0,0,0,0,0,869,9.86,0
97,외국 in 한국,일상,1,0,0,0,0,0,0,0,0,0,"8,289",9.87,0
98,사는 게 이게 모양?!,일상,1,1,0,0,0,0,0,0,0,0,"1,997",9.75,0
99,"알고 싶니 마음, #심리툰 by 팔호광장",일상,1,0,0,0,0,0,0,0,0,0,"4,377",9.77,0
100,불손한 친구들,일상,1,1,0,0,0,0,0,0,0,0,486,9.75,0
101,사쟈툰,일상,1,1,0,0,0,0,0,0,0,0,"3,167",8.68,0
102,촌스러운 그들,일상,1,1,0,0,0,0,0,0,0,0,375,9.62,0
103,한지붕 새가족,일상,1,1,0,0,0,0,0,0,0,0,530,9.66,0
104,일상견문록,일상,1,0,0,0,0,0,0,0,0,0,757,9.86,0
105,"다시, 닻별",일상,1,0,0,0,1,0,0,0,0,0,111,7.44,0
106,떴다! 자취생,일상,1,1,0,0,0,0,0,0,0,0,228,9.44,0
107,[BL] HOLY JUNK,일상,1,0,0,0,1,0,0,0,0,0,"2,178",9.54,0
108,메리고라운드,일상,1,1,0,0,0,0,0,0,0,0,"1,140",9.87,0
109,송양 게스트하우스,일상,1,0,0,0,0,0,0,0,0,0,"1,624",9.77,0
110,단편만화,일상,1,0,0,0,1,0,0,0,0,0,767,9.27,0
111,칠흑의 장미,일상,1,0,1,0,0,0,0,0,0,0,50,9.46,0
112,동글앤토실,일상,1,0,0,0,0,0,0,0,0,0,"1,379",9.88,0
113,오늘도 냥냥냥♪,일상,1,0,0,0,0,0,1,0,0,0,"2,363",9.87,0
114,그림그리기 좋은날,일상,1,0,0,0,0,1,0,0,0,0,"60,550",9.9,0
115,식사하시라요,일상,1,0,0,0,1,0,0,0,0,0,30,9.54,0
116,우리 남매의 일상은,일상,1,1,0,0,0,0,0,0,0,0,"20,731",9.88,0
117,봄이와,일상,1,0,0,0,0,0,0,0,0,0,747,9.51,0
118,사자머리와호깜대,일상,1,0,0,0,0,0,1,0,0,0,251,9.77,0
119,과격자매단,일상,1,1,0,0,0,0,0,0,0,0,"30,429",9.89,0
120,소도시에 삽니다,일상,1,1,0,0,0,0,0,0,0,0,26,9.47,0
121,찔레꽃 그너머,일상,1,0,0,0,0,0,0,0,1,0,525,9.86,0
122,그 중에 나는 없었다,일상,1,0,0,0,0,1,0,0,0,0,"9,615",9.87,0
123,내 학생이 싸이코패스일 리가 없어,일상,1,0,0,0,0,0,0,0,0,0,"4,919",9.85,0
124,GIMS,일상,1,0,0,0,0,0,0,0,0,0,"29,757",9.88,0
125,5kg을 위하여,일상,1,1,0,0,0,0,0,0,0,0,"18,137",9.89,1
126,이것도 친구라고,일상,1,1,0,0,0,0,0,0,0,0,"10,928",9.88,1
127,가담가담,일상,1,0,0,1,0,0,0,0,0,0,"13,543",9.88,0
128,연놈,일상,1,0,0,0,0,0,1,0,0,0,"42,150",9.85,1
129,하드오피스,일상,1,0,0,0,0,0,0,1,0,0,27,9.56,0
130,초식고등학교,일상,1,1,0,0,0,0,0,0,0,0,"16,169",9.88,0
131,여고를 아느냐,일상,1,1,0,0,0,0,0,0,0,0,"6,862",9.85,0
132,우리 오빠는 아이돌!,일상,1,0,0,0,0,1,0,0,0,0,"9,589",9.83,1
133,무쇠 후라이팬,일상,1,0,0,0,1,0,0,0,0,0,"7,797",9.9,0
134,천진난만 알바인생,일상,1,1,0,0,0,0,0,0,0,0,"8,891",9.89,0
135,여우자매,일상,1,0,0,0,0,0,0,0,1,0,"32,557",9.9,0
136,긁지 않은 복권,일상,1,0,1,0,0,0,0,0,0,0,"9,555",9.89,0
137,내과 박원장,일상,1,0,0,0,1,0,0,0,0,0,"13,395",9.85,0
138,개를 낳았다~만남부터 이별까지~,일상,1,1,0,0,0,0,0,0,0,0,"15,524",9.89,1
139,GO!라니,일상,1,0,0,0,0,1,0,0,0,0,"11,053",9.88,0
140,다 이아리,일상,1,0,0,0,0,0,0,1,0,0,"6,560",9.84,0
141,솔로인커플,일상,1,1,0,0,0,0,0,0,0,0,"4,865",9.86,0
142,기안84 회고록,일상,1,0,0,0,0,0,0,0,0,0,"3,644",9.85,0
143,오늘도 형제는 평화롭다,일상,1,1,0,0,0,0,0,0,0,0,"4,222",9.89,1
144,그녀는 나를 싫어해,일상,1,1,0,0,0,0,0,0,0,0,"6,019",9.88,0
145,오! 덕후를 위하여,일상,1,0,0,0,0,1,0,0,0,0,"20,312",9.89,0
146,진짜여군,일상,1,1,0,0,0,0,0,0,0,0,"2,314",9.88,0
147,어메이징 결혼이야기,일상,1,0,0,0,0,0,0,0,0,0,"2,426",9.85,0
148,바보요정 웽,일상,1,1,0,0,0,0,0,0,0,0,"9,637",9.89,0
149,시크릿가족,일상,1,0,0,0,0,0,0,0,0,0,"9,192",9.87,0
150,철없는 수의대생의 일상,일상,1,1,0,0,0,0,0,0,0,0,"6,156",9.89,0
151,서폿저택에 어서오세요,일상,1,1,0,0,0,0,0,0,0,0,"18,876",9.86,0
152,스페셜 게스트,일상,1,0,0,0,1,0,0,0,0,0,"4,136",9.82,0
153,루커피쳐,일상,1,0,0,0,0,1,0,0,0,0,"26,936",9.89,1
154,강가네,일상,1,0,0,0,1,0,0,0,0,0,"10,185",9.9,0
155,언니,일상,1,1,0,0,0,0,0,0,0,0,"7,499",9.9,0
156,무브더크라우드,일상,1,0,0,0,1,0,0,0,0,0,"3,010",9.79,0
157,오늘의 후기,일상,1,1,0,0,0,0,0,0,0,0,"7,155",9.79,0
158,현세이의 보이는 라디오,일상,1,0,0,0,1,0,0,0,0,0,"16,370",9.89,0
159,아기낳는만화,일상,1,0,0,0,0,0,0,0,0,0,"5,544",9.88,1
160,오늘은 비,일상,1,0,0,0,0,1,0,0,0,0,"12,460",9.89,0
161,등교하는 근식이,일상,1,0,1,0,0,0,0,0,0,0,"2,179",9.9,0
162,사춘기소녀 커플즈,일상,1,0,0,0,0,1,0,0,0,0,"63,435",9.81,0
163,미로의 정원,일상,1,0,1,0,0,0,0,0,0,0,"6,321",9.89,0
164,이과지옥,일상,1,1,0,0,0,0,0,0,0,0,"6,102",9.75,0
165,나나의 교환학생이야기,일상,1,0,0,0,0,0,1,0,0,0,"2,856",9.88,0
166,고고고,일상,1,1,0,0,0,0,0,0,0,0,8,9.02,0
167,리틀프린스!,일상,1,0,0,0,0,1,0,0,0,0,"3,507",9.77,0
168,연두툰,일상,1,1,0,0,0,0,0,0,0,0,"5,253",9.72,0
169,시월이툰,일상,1,0,0,0,0,0,0,0,0,0,"5,981",9.9,0
170,연애일기,일상,1,0,0,0,0,1,0,0,0,0,"19,447",9.9,0
171,"결혼 후, 보통의 삶",일상,1,0,0,0,0,0,0,0,0,0,"4,783",9.9,0
172,코스믹 코믹스,일상,1,0,1,0,0,0,0,0,0,0,"26,002",9.89,0
173,오늘부터 G.A.B님과 함께 살게 되었습니다,일상,1,1,0,0,0,0,0,0,0,0,20,9.84,0
174,알콜일기,일상,1,1,0,0,0,0,0,0,0,0,"5,970",9.88,0
175,열정호구,일상,1,1,0,0,0,0,0,0,0,0,"2,304",9.87,1
176,식빵고양이 파운드캣,일상,1,0,0,0,0,0,0,0,0,0,"9,275",9.9,0
177,투명 매니큐어를 바르는 승무원,일상,1,0,0,0,0,0,0,0,0,0,"6,924",9.88,0
