À¥Å÷ Á¦¸ñ,È¸Â÷ Á¦¸ñ,È¸Â÷,Á¶È¸¼ö,È¸Â÷º° º°Á¡,º°Á¡ Âü¿©ÀÎ¿ø¼ö,ÁÁ¾Æ¿ä¼ö,´ñ±Û¼ö,Á¤½Ä¿¬Àç,Á¶È¸¼ö ´ëºñ º°Á¡Âü¿©,Á¶È¸¼ö ´ëºñ ÁÁ¾Æ¿ä,´ñ±Û¼ö ´ëºñ ±àÁ¤´ñ±Û,´ñ±Û¼ö ´ëºñ ºÎÁ¤´ñ±Û,¿¡ÇÇ¼Òµå,¿È´Ï¹ö½º,½ºÅä¸®,ÀÏ»ó,°³±×,ÆÇÅ¸Áö,¾×¼Ç,µå¶ó¸¶,¼øÁ¤,°¨¼º,½º¸±·¯,½Ã´ë±Ø,½ºÆ÷Ã÷
ÀÌ°Íµµ Ä£±¸¶ó°í,3È­. 21¼¼±â ³²ÀÚµéÀÇ ¿ìÁ¤Àº ÄÄÇ»ÅÍ ¾Õ¿¡¼­ (1),4,368372,9.88,1996,1546,82,1,5.418436,4.196844,67.07317073,1.219512195,1,0,0,1,1,0,0,0,0,0,0,0,0
ÀÌ°Íµµ Ä£±¸¶ó°í,Æ¯º°Æí,5,310125,9.88,1638,1355,71,1,5.281741,4.369206,42.25352113,2.816901408,1,0,0,1,1,0,0,0,0,0,0,0,0
¿¬³ð,1È­. 3³â.. ¿©ÀüÈ÷ ´Ù¸¥ ¿ì¸® (1),1,616331,9.81,4113,2995,503,1,6.673362,4.859402,45.12922465,2.186878728,0,0,1,1,0,0,0,0,0,1,0,0,0
¿¬³ð,2È­. 3³â.. ¿©ÀüÈ÷ ´Ù¸¥ ¿ì¸® (2),2,478146,9.82,3568,2139,262,1,7.462156,4.473529,45.41984733,2.290076336,0,0,1,1,0,0,0,0,0,1,0,0,0
¿¬³ð,3È­. 3³â.. ¿©ÀüÈ÷ ´Ù¸¥ ¿ì¸® (3),3,372339,9.81,3162,1734,254,1,8.492261,4.657046,40.94488189,1.968503937,0,0,1,1,0,0,0,0,0,1,0,0,0
¿¬³ð,"4È­. ¸¶À½¿¡µµ ¾ø´Â, ¾Æ´Ï ¾ø±æ ¹Ù¶ó´Â ¸».",4,273925,9.81,3075,1599,203,1,11.2257,5.837364,37.43842365,2.955665025,0,0,1,1,0,0,0,0,0,1,0,0,0
¿¬³ð,5È­. ¿À´Ã ¹¹ÇØ?,5,227458,9.81,3037,1630,301,1,13.351916,7.166158,43.52159468,1.328903654,0,0,1,1,0,0,0,0,0,1,0,0,0
#»ìÀÎ½ºÅ¸±×·¥,ÇÁ·Ñ·Î±×,1,335457,9.51,758,637,35,1,2.259604,1.898902,62.85714286,0,0,0,1,0,0,0,0,1,0,0,1,0,0
#»ìÀÎ½ºÅ¸±×·¥,1È­,2,335270,9.57,689,493,51,1,2.05506,1.470457,33.33333333,3.921568627,0,0,1,0,0,0,0,1,0,0,1,0,0
#»ìÀÎ½ºÅ¸±×·¥,2È­,3,250998,9.59,624,340,67,1,2.486076,1.354592,37.31343284,1.492537313,0,0,1,0,0,0,0,1,0,0,1,0,0
#»ìÀÎ½ºÅ¸±×·¥,3È­,4,214372,9.63,611,320,57,1,2.850186,1.492732,38.59649123,3.50877193,0,0,1,0,0,0,0,1,0,0,1,0,0
#»ìÀÎ½ºÅ¸±×·¥,4È­,5,218042,9.67,610,322,93,1,2.797626,1.47678,31.1827957,0,0,0,1,0,0,0,0,1,0,0,1,0,0
¿ì¸® ¿Àºü´Â ¾ÆÀÌµ¹!,1È­,1,349733,9.74,1316,627,133,1,3.762871,1.792796,54.88721805,0,0,0,1,1,0,0,0,0,1,0,0,0,0
¿ì¸® ¿Àºü´Â ¾ÆÀÌµ¹!,2È­,2,256414,9.77,1078,515,56,1,4.204139,2.008471,58.92857143,3.571428571,0,0,1,1,0,0,0,0,1,0,0,0,0
¿ì¸® ¿Àºü´Â ¾ÆÀÌµ¹!,3È­,3,218442,9.79,1023,458,43,1,4.683165,2.096666,41.86046512,0,0,0,1,1,0,0,0,0,1,0,0,0,0
¿ì¸® ¿Àºü´Â ¾ÆÀÌµ¹!,4È­,4,205051,9.81,1055,458,66,1,5.145061,2.233591,50,1.515151515,0,0,1,1,0,0,0,0,1,0,0,0,0
¿ì¸® ¿Àºü´Â ¾ÆÀÌµ¹!,5È­,5,212468,9.77,957,445,63,1,4.504208,2.094433,34.92063492,1.587301587,0,0,1,1,0,0,0,0,1,0,0,0,0
Ãë»çº´ Àü¼³ÀÌ µÇ´Ù,ÇÁ·Ñ·Î±×,1,334250,9.72,1248,396,85,1,3.733732,1.184742,41.17647059,1.176470588,0,0,1,0,0,1,0,1,0,0,0,0,0
Ãë»çº´ Àü¼³ÀÌ µÇ´Ù,1È­,2,372099,9.82,1432,452,125,1,3.848438,1.21473,45.6,6.4,0,0,1,0,0,1,0,1,0,0,0,0,0
Ãë»çº´ Àü¼³ÀÌ µÇ´Ù,2È­,3,300754,9.84,1298,375,90,1,4.31582,1.246866,43.33333333,2.222222222,0,0,1,0,0,1,0,1,0,0,0,0,0
Ãë»çº´ Àü¼³ÀÌ µÇ´Ù,3È­,4,262261,9.84,1272,350,53,1,4.85013,1.334548,47.16981132,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Ãë»çº´ Àü¼³ÀÌ µÇ´Ù,4È­,5,256048,9.83,1134,353,51,1,4.428857,1.378648,25.49019608,3.921568627,0,0,1,0,0,1,0,1,0,0,0,0,0
±Í°¢½Ã,-¿¹°íÆí-,1,236307,9.81,2359,1625,157,1,9.982777,6.876648,44.58598726,0.636942675,0,0,1,0,0,0,0,0,1,0,1,0,0
±Í°¢½Ã,-1-,2,260183,9.84,2419,1472,230,1,9.297302,5.657556,23.91304348,1.304347826,0,0,1,0,0,0,0,0,1,0,1,0,0
±Í°¢½Ã,-2-,3,216561,9.85,2449,1451,111,1,11.308592,6.700191,35.13513514,1.801801802,0,0,1,0,0,0,0,0,1,0,1,0,0
±Í°¢½Ã,-3-,4,187305,9.85,2385,1429,98,1,12.733243,7.629268,35.71428571,0,0,0,1,0,0,0,0,0,1,0,1,0,0
±Í°¢½Ã,-4-,5,169749,9.87,2331,1351,162,1,13.73204,7.95881,25.92592593,1.234567901,0,0,1,0,0,0,0,0,1,0,1,0,0
À×¿©Æ¯°ø´ë,1,1,478122,9.78,1924,2044,258,1,4.024078,4.27506,39.14728682,2.713178295,0,0,1,0,0,1,0,1,0,0,0,0,0
À×¿©Æ¯°ø´ë,2,2,327122,9.88,1471,1532,127,1,4.496793,4.683268,35.43307087,0,0,0,1,0,0,1,0,1,0,0,0,0,0
À×¿©Æ¯°ø´ë,3,3,282310,9.85,1444,1387,88,1,5.114945,4.913039,42.04545455,4.545454545,0,0,1,0,0,1,0,1,0,0,0,0,0
À×¿©Æ¯°ø´ë,4,4,258251,9.89,1307,1302,69,1,5.060968,5.041607,59.42028986,0,0,0,1,0,0,1,0,1,0,0,0,0,0
À×¿©Æ¯°ø´ë,5,5,248875,9.91,1232,1245,76,1,4.950276,5.002511,38.15789474,0,0,0,1,0,0,1,0,1,0,0,0,0,0
¿À´Ãµµ ÇüÁ¦´Â ÆòÈ­·Ó´Ù,¹è·Á,1,252925,9.85,1904,1107,84,1,7.527923,4.376792,71.42857143,0,1,0,0,1,1,0,0,0,0,0,0,0,0
¿À´Ãµµ ÇüÁ¦´Â ÆòÈ­·Ó´Ù,¿ì¾Ö,2,210825,9.88,1684,1033,77,1,7.987667,4.899798,85.71428571,0,1,0,0,1,1,0,0,0,0,0,0,0,0
¿À´Ãµµ ÇüÁ¦´Â ÆòÈ­·Ó´Ù,¹«´ë,3,183780,9.85,1452,820,49,1,7.900751,4.461857,77.55102041,0,1,0,0,1,1,0,0,0,0,0,0,0,0
¿À´Ãµµ ÇüÁ¦´Â ÆòÈ­·Ó´Ù,¼Ò°³,4,172672,9.9,1494,890,53,1,8.652242,5.154281,73.58490566,1.886792453,1,0,0,1,1,0,0,0,0,0,0,0,0
¿À´Ãµµ ÇüÁ¦´Â ÆòÈ­·Ó´Ù,Ã¼³ä,5,182154,9.91,2379,1239,57,1,13.060377,6.801937,80.70175439,0,1,0,0,1,1,0,0,0,0,0,0,0,0
°£¶³¾îÁö´Â µ¿°Å,1,1,300464,9.87,964,365,46,1,3.208371,1.214788,43.47826087,0,0,0,1,0,1,0,0,0,1,0,0,0,0
°£¶³¾îÁö´Â µ¿°Å,2,2,221107,9.84,873,302,46,1,3.948315,1.365855,60.86956522,0,0,0,1,0,1,0,0,0,1,0,0,0,0
°£¶³¾îÁö´Â µ¿°Å,3,3,190020,9.86,1026,336,42,1,5.399432,1.768235,76.19047619,0,0,0,1,0,1,0,0,0,1,0,0,0,0
°£¶³¾îÁö´Â µ¿°Å,º£½ºÆ® µµÀü,4,146513,9.85,778,241,68,1,5.310109,1.644905,60.29411765,0,0,0,1,0,1,0,0,0,1,0,0,0,0
°£¶³¾îÁö´Â µ¿°Å,4,5,172734,9.89,1185,358,169,1,6.860259,2.072551,55.62130178,1.775147929,0,0,1,0,1,0,0,0,1,0,0,0,0
¿À´Ãµµ »ç¶ûÇÏ¼¼¿ä,1È­,1,300592,9.86,1527,2116,82,1,5.079976,7.039442,37.80487805,1.219512195,0,0,1,0,0,0,0,0,1,0,0,0,0
¿À´Ãµµ »ç¶ûÇÏ¼¼¿ä,2È­,2,242512,9.93,1286,1790,64,1,5.30283,7.381078,9.375,3.125,0,0,1,0,0,0,0,0,1,0,0,0,0
¿À´Ãµµ »ç¶ûÇÏ¼¼¿ä,3È­,3,206959,9.95,1200,1610,66,1,5.79825,7.779319,21.21212121,1.515151515,0,0,1,0,0,0,0,0,1,0,0,0,0
¿À´Ãµµ »ç¶ûÇÏ¼¼¿ä,4È­,4,193245,9.89,1256,1586,62,1,6.499521,8.207198,22.58064516,1.612903226,0,0,1,0,0,0,0,0,1,0,0,0,0
¿À´Ãµµ »ç¶ûÇÏ¼¼¿ä,º£µµ°¨»ç,5,184933,9.91,1105,1376,108,1,5.975137,7.440533,71.2962963,0.925925926,0,0,1,0,0,0,0,0,1,0,0,0,0
»îÀÌ ¿ì¸®¸¦ ¼ÓÀÏÁö¶óµµ,1È­ ½ÃÀÛ [1],1,354386,9.81,1986,875,161,1,5.604059,2.469059,57.14285714,0,0,0,1,0,0,0,0,1,1,0,0,0,0
»îÀÌ ¿ì¸®¸¦ ¼ÓÀÏÁö¶óµµ,2È­ ½ÃÀÛ [2],2,261533,9.88,1626,744,73,1,6.217189,2.844765,50.68493151,1.369863014,0,0,1,0,0,0,0,1,1,0,0,0,0
»îÀÌ ¿ì¸®¸¦ ¼ÓÀÏÁö¶óµµ,3È­ ¹æ½ÉÀº ±Ý¹° [1],3,217829,9.85,1237,639,72,1,5.678766,2.933494,38.88888889,1.388888889,0,0,1,0,0,0,0,1,1,0,0,0,0
»îÀÌ ¿ì¸®¸¦ ¼ÓÀÏÁö¶óµµ,4È­ ¹æ½ÉÀº ±Ý¹° [2],4,194509,9.87,1129,540,70,1,5.804359,2.776221,37.14285714,2.857142857,0,0,1,0,0,0,0,1,1,0,0,0,0
»îÀÌ ¿ì¸®¸¦ ¼ÓÀÏÁö¶óµµ,5È­ ¹æ½ÉÀº ±Ý¹° [3],5,188293,9.86,1078,572,111,1,5.72512,3.037819,58.55855856,1.801801802,0,0,1,0,0,0,0,1,1,0,0,0,0
º¹ÇÐ»ý Á¤¼øÀÌ,¿¹°íÆí,1,244416,9.87,1083,808,51,1,4.43097,3.305839,27.45098039,1.960784314,0,0,1,0,1,0,0,1,0,0,0,0,0
º¹ÇÐ»ý Á¤¼øÀÌ,1È­,2,264997,9.91,1421,938,64,1,5.362325,3.539663,53.125,0,0,0,1,0,1,0,0,1,0,0,0,0,0
º¹ÇÐ»ý Á¤¼øÀÌ,2È­,3,240538,9.93,1477,989,74,1,6.140402,4.111616,32.43243243,0,0,0,1,0,1,0,0,1,0,0,0,0,0
º¹ÇÐ»ý Á¤¼øÀÌ,3È­,4,225128,9.9,1489,939,71,1,6.614015,4.170961,33.8028169,1.408450704,0,0,1,0,1,0,0,1,0,0,0,0,0
º¹ÇÐ»ý Á¤¼øÀÌ,4È­,5,215130,9.88,1336,895,58,1,6.210198,4.160275,50,1.724137931,0,0,1,0,1,0,0,1,0,0,0,0,0
³»ÀÏ,¡¡,1,408064,9.87,1403,1319,293,1,3.438186,3.232336,40.61433447,3.412969283,0,1,0,0,0,0,0,1,0,1,0,0,0
³»ÀÏ,¡¡,2,298281,9.89,1184,1042,0,1,3.969411,3.49335,41.00113445,1.364600941,0,1,0,0,0,0,0,1,0,1,0,0,0
³»ÀÏ,¡¡,3,260420,9.88,1021,803,0,1,3.92059,3.083481,41.00113445,1.364600941,0,1,0,0,0,0,0,1,0,1,0,0,0
³»ÀÏ,¡¡,4,217767,9.9,973,795,0,1,4.468078,3.650691,41.00113445,1.364600941,0,1,0,0,0,0,0,1,0,1,0,0,0
³»ÀÏ,¡¡,5,206652,9.9,943,775,0,1,4.563227,3.750266,41.00113445,1.364600941,0,1,0,0,0,0,0,1,0,1,0,0,0
Çï·Îµµ»ç,Çï·Îµµ»ç - Æ÷ÅÙ¾÷ °øÁöÀÔ´Ï´Ù!,1,271325,9.73,538,269,60,1,1.982862,0.991431,25,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Çï·Îµµ»ç,1È­,2,340282,9.91,1833,559,189,1,5.386709,1.642755,42.85714286,2.116402116,1,0,0,0,0,1,0,0,1,0,0,0,0
Çï·Îµµ»ç,2È­,3,203333,9.84,1047,404,107,1,5.149189,1.986889,40.18691589,4.672897196,1,0,0,0,0,1,0,0,1,0,0,0,0
Çï·Îµµ»ç,3È­,4,148495,9.77,928,321,143,1,6.249369,2.161689,28.67132867,6.993006993,1,0,0,0,0,1,0,0,1,0,0,0,0
Çï·Îµµ»ç,4È­,5,125017,9.85,842,282,112,1,6.735084,2.255693,27.67857143,0.892857143,1,0,0,0,0,1,0,0,1,0,0,0,0
·çÄ¿ÇÇÃÄ,1,1,289315,9.85,2474,3749,556,1,8.551233,12.958194,39.38848921,1.258992806,0,0,1,1,0,0,0,0,1,0,0,0,0
·çÄ¿ÇÇÃÄ,2,2,188896,9.88,1917,2839,230,1,10.148441,15.029434,56.08695652,0.434782609,0,0,1,1,0,0,0,0,1,0,0,0,0
·çÄ¿ÇÇÃÄ,3,3,165033,9.91,1605,2521,152,1,9.725328,15.275733,47.36842105,0.657894737,0,0,1,1,0,0,0,0,1,0,0,0,0
·çÄ¿ÇÇÃÄ,4,4,151048,9.9,1767,2537,155,1,11.698268,16.795985,39.35483871,0.64516129,0,0,1,1,0,0,0,0,1,0,0,0,0
·çÄ¿ÇÇÃÄ,5,5,147373,9.92,1761,2542,163,1,11.949272,17.24875,47.2392638,3.067484663,0,0,1,1,0,0,0,0,1,0,0,0,0
ÇÏ·ç¸¸ ³×°¡ µÇ°í ½Í¾î,1. ¼Ò¹®ÀÇ µÎ ¿©ÀÚ,1,230880,9.83,1376,1574,68,1,5.959806,6.817394,51.47058824,8.823529412,0,0,1,0,0,1,0,1,0,0,0,0,0
ÇÏ·ç¸¸ ³×°¡ µÇ°í ½Í¾î,"2. ³× °Í, ³» °Í",2,133136,9.86,1071,1134,36,1,8.044406,8.517606,52.77777778,2.777777778,0,0,1,0,0,1,0,1,0,0,0,0,0
ÇÏ·ç¸¸ ³×°¡ µÇ°í ½Í¾î,3. ÀÌ°Ô »ç¶ûÀÏ±î?,3,122960,9.89,1385,1196,129,1,11.263826,9.72674,53.48837209,6.976744186,0,0,1,0,0,1,0,1,0,0,0,0,0
ÇÏ·ç¸¸ ³×°¡ µÇ°í ½Í¾î,¿¬Àç ÀÏÁ¤ °øÁö,4,106110,9.88,1085,1133,81,1,10.225238,10.677599,80.24691358,1.234567901,0,0,1,0,0,1,0,1,0,0,0,0,0
ÇÏ·ç¸¸ ³×°¡ µÇ°í ½Í¾î,4. »ç³É²Û ´ë »ç³É°¨,5,111275,9.84,1237,1161,111,1,11.116603,10.43361,59.45945946,2.702702703,0,0,1,0,0,1,0,1,0,0,0,0,0
¾Æ±â³º´Â¸¸È­,½ÃÀÛÇÕ´Ï´Ù :),1,224282,9.82,970,226,16,1,4.324912,1.00766,50,0,1,0,0,1,0,0,0,0,0,0,0,0,0
¾Æ±â³º´Â¸¸È­,1È­ ¾Æ±â µîÀå!,2,286041,9.88,1438,382,20,1,5.027251,1.335473,50,5,1,0,0,1,0,0,0,0,0,0,0,0,0
¾Æ±â³º´Â¸¸È­,2È­ ÀÚ¿¬ÀÓ½ÅºÒ°¡,3,250056,9.87,1189,287,21,1,4.754935,1.147743,33.33333333,9.523809524,1,0,0,1,0,0,0,0,0,0,0,0,0
¾Æ±â³º´Â¸¸È­,3È­ ÀÎ°ø¼öÁ¤,4,207932,9.86,1383,287,82,1,6.651213,1.380259,9.756097561,17.07317073,1,0,0,1,0,0,0,0,0,0,0,0,0
¾Æ±â³º´Â¸¸È­,4È­ µÞÅë¼ö,5,182966,9.87,1238,256,13,1,6.766284,1.399167,46.15384615,23.07692308,1,0,0,1,0,0,0,0,0,0,0,0,0
Åõ¸íÇÑ µ¿°Å,1È­ °ÅºÎ¹ÝÀÀ,1,156241,9.85,1011,714,134,1,6.470773,4.569863,70.89552239,0,0,0,1,0,0,0,0,1,1,0,0,0,0
Åõ¸íÇÑ µ¿°Å,2È­ ´«Ä¡,2,133764,9.85,1064,572,45,1,7.954308,4.276188,48.88888889,0,0,0,1,0,0,0,0,1,1,0,0,0,0
Åõ¸íÇÑ µ¿°Å,3È­ ÀÔÀå,3,121725,9.86,939,531,77,1,7.71411,4.362292,44.15584416,2.597402597,0,0,1,0,0,0,0,1,1,0,0,0,0
Åõ¸íÇÑ µ¿°Å,4È­ ±â´ë,4,130236,9.85,1378,1065,180,1,10.580792,8.177462,58.88888889,0.555555556,0,0,1,0,0,0,0,1,1,0,0,0,0
Åõ¸íÇÑ µ¿°Å,5È­ È¸º¹±â,5,110058,9.85,986,617,115,1,8.958913,5.606135,54.7826087,0,0,0,1,0,0,0,0,1,1,0,0,0,0
10¿ù 28ÀÏ,ÇÁ·Ñ·Î±×,1,172507,9.73,354,98,59,1,2.052091,0.568093,40.6779661,1.694915254,0,0,1,0,0,1,0,0,0,0,1,0,0
10¿ù 28ÀÏ,1È­,2,178824,9.85,419,117,42,1,2.343086,0.654275,38.0952381,4.761904762,0,0,1,0,0,1,0,0,0,0,1,0,0
10¿ù 28ÀÏ,2È­,3,127064,9.84,387,103,40,1,3.045709,0.810615,12.5,2.5,0,0,1,0,0,1,0,0,0,0,1,0,0
10¿ù 28ÀÏ,3È­,4,113218,9.9,409,88,25,1,3.6125,0.777262,24,4,0,0,1,0,0,1,0,0,0,0,1,0,0
10¿ù 28ÀÏ,4È­,5,107908,9.88,367,73,15,1,3.401045,0.676502,53.33333333,0,0,0,1,0,0,1,0,0,0,0,1,0,0
ÇÕ¹ýÇØÀû ÆÄ¸£Æä,1È­    ¿¬Àç ÇùÀÇÁß^_^)9,1,298826,9.89,3922,1331,272,1,13.124695,4.454097,65.44117647,0.735294118,0,0,1,0,0,1,0,0,0,0,0,0,0
ÇÕ¹ýÇØÀû ÆÄ¸£Æä,2È­,2,189422,9.9,3785,1090,139,1,19.981839,5.754347,74.10071942,2.877697842,0,0,1,0,0,1,0,0,0,0,0,0,0
ÇÕ¹ýÇØÀû ÆÄ¸£Æä,3È­,3,152967,9.9,3041,981,90,1,19.880105,6.413148,40,4.444444444,0,0,1,0,0,1,0,0,0,0,0,0,0
